,sample_id,OM,ENR,CEC,pH,BpH,Phosphorus,Potassium,Calcium,Magnesium,Sulfur,Sodium,Zinc,Manganese,Iron,Copper,Boron,site_id,collect_date,V2,species
134,LM22,11.1,150.0,10.8,5.7,6.7,48.0,140.0,1249.0,224.0,7.0,15.0,7.8,22.0,95.0,0.7,0.4,LM,6/25/2021,0.99613745,syriaca
135,LM23,14.6,150.0,15.8,6.0,6.69,78.0,230.0,1957.0,356.0,10.0,16.0,9.6,43.0,135.0,1.0,0.6,LM,6/25/2021,0.982562258,syriaca
136,LM25,8.3,150.0,11.2,5.7,6.69,68.0,114.0,1353.0,203.0,10.0,14.0,8.1,29.0,142.0,1.0,0.4,LM,6/25/2021,0.945970293,syriaca
137,LM28,5.4,148.0,7.1,6.2,6.84,37.0,189.0,824.0,185.0,7.0,13.0,4.9,31.0,93.0,0.8,0.3,LM,6/25/2021,0.977759091,syriaca
138,MKP1,7.7,150.0,15.7,7.2,6.93,17.0,82.0,2113.0,581.0,12.0,19.0,7.8,82.0,74.0,1.2,1.8,MKP,7/6/2021,0.96071195,syriaca
139,MKP2,6.3,150.0,15.1,7.1,6.93,13.0,82.0,1953.0,598.0,10.0,26.0,5.2,89.0,57.0,0.9,1.3,MKP,7/6/2021,0.977027431,syriaca
140,MKP3,8.5,150.0,15.9,7.3,6.93,12.0,94.0,2125.0,598.0,13.0,18.0,6.4,86.0,66.0,1.1,1.8,MKP,7/6/2021,0.9416044,syriaca
141,MKP4,6.4,150.0,15.2,7.0,6.93,7.0,115.0,1923.0,619.0,10.0,26.0,5.0,91.0,51.0,0.9,1.4,MKP,7/6/2021,0.999997617,syriaca
142,MKP5,9.4,150.0,18.5,7.4,6.93,15.0,99.0,2361.0,757.0,13.0,23.0,9.6,80.0,94.0,1.6,2.0,MKP,7/6/2021,0.986708141,syriaca
143,MKP6,0.5,36.0,19.9,7.7,6.93,3.0,31.0,3134.0,493.0,33.0,12.0,3.1,7.0,199.0,1.0,0.2,MKP,7/6/2021,0.964799716,syriaca
144,MKP7,9.9,150.0,17.2,7.0,6.93,25.0,62.0,2486.0,540.0,37.0,28.0,19.5,74.0,103.0,1.8,1.7,MKP,7/6/2021,0.99997927,syriaca
145,MKP8,7.5,150.0,14.0,7.4,6.93,17.0,59.0,1881.0,525.0,9.0,25.0,15.7,71.0,72.0,1.4,1.2,MKP,7/6/2021,0.998593042,syriaca
146,RF1,9.1,150.0,5.5,5.4,6.77,65.0,110.0,522.0,118.0,18.0,15.0,4.5,120.0,141.0,1.2,0.2,RF,7/6/2021,0.9001262459999999,syriaca
147,RF2,12.8,150.0,13.9,5.6,6.61,54.0,139.0,1524.0,314.0,18.0,15.0,6.7,201.0,100.0,1.3,0.5,RF,7/6/2021,0.926441789,syriaca
148,RF3,11.3,150.0,12.3,5.9,6.72,40.0,116.0,1476.0,290.0,12.0,15.0,3.8,169.0,106.0,1.0,0.6,RF,7/6/2021,0.984147743,syriaca
149,RF4,18.4,150.0,13.0,5.8,6.68,78.0,153.0,1341.0,400.0,18.0,16.0,6.5,204.0,121.0,1.0,0.6,RF,7/6/2021,0.932884191,syriaca
150,RF5,12.4,150.0,9.3,5.4,6.67,58.0,108.0,881.0,230.0,19.0,15.0,4.8,203.0,144.0,1.0,0.3,RF,7/6/2021,0.895977067,syriaca
151,RF8,14.1,150.0,13.1,5.1,6.44,63.0,146.0,1121.0,257.0,16.0,14.0,4.9,176.0,115.0,0.9,0.4,RF,7/6/2021,0.999987321,syriaca
152,RF9,12.8,150.0,12.0,5.6,6.65,69.0,133.0,1346.0,248.0,11.0,14.0,4.7,180.0,110.0,1.0,0.4,RF,7/6/2021,0.989302792,syriaca
153,RF10,13.1,150.0,13.6,5.1,6.42,75.0,160.0,1151.0,272.0,16.0,15.0,4.1,154.0,119.0,0.9,0.4,RF,7/6/2021,0.959044822,syriaca
154,RF11,13.3,150.0,14.0,5.0,6.36,55.0,135.0,1148.0,254.0,16.0,15.0,4.4,151.0,112.0,0.9,0.4,RF,7/6/2021,0.993314449,syriaca
155,RF12,15.0,150.0,10.8,5.2,6.56,57.0,110.0,982.0,218.0,14.0,15.0,5.3,164.0,123.0,0.8,0.4,RF,7/6/2021,0.933384203,syriaca
156,RF13,9.0,150.0,5.4,4.6,6.64,42.0,79.0,322.0,69.0,22.0,15.0,4.9,240.0,157.0,1.1,0.2,RF,7/6/2021,0.655692078,exaltata
157,PNR1,8.7,150.0,11.5,6.4,6.83,12.0,92.0,1647.0,238.0,8.0,13.0,5.0,265.0,102.0,0.9,0.7,PNR,7/5/2021,0.999999928,syriaca
158,PNR2,4.9,124.0,20.9,7.6,6.93,7.0,71.0,3814.0,196.0,8.0,13.0,2.3,67.0,61.0,1.3,0.9,PNR,7/5/2021,1.0,hybrid
159,PNR3,4.4,114.0,18.8,7.7,6.93,7.0,56.0,3478.0,139.0,9.0,15.0,1.6,43.0,72.0,1.0,0.6,PNR,7/5/2021,0.999047821,syriaca
