sample_id,OM,ENR,CEC,pH,BpH,Phosphorus,Potassium,Calcium,Magnesium,Sulfur,Sodium,Zinc,Manganese,Iron,Copper,Boron,sample_id,site_id,collect_date
CMB18,25.6,150,13.3,5.7,6.65,88,139,1557,275,18,14,13.8,29,81,0.4,0.4,CMB18,CMB,6/29/2021
CMB19,24.2,150,12.4,5.5,6.61,47,143,1371,231,18,15,14.5,20,88,0.5,0.4,CMB19,CMB,6/29/2021
CMB20,23.7,150,12.3,5.1,6.47,77,111,1163,179,16,14,12.4,26,78,0.5,0.3,CMB20,CMB,6/29/2021
CMB21,31.1,150,13.9,4.9,6.32,52,105,1184,190,19,15,17,17,91,0.5,0.3,CMB21,CMB,6/29/2021
CMB22,32.4,150,9.3,5.3,6.64,72,104,925,168,22,14,11,24,88,0.4,0.3,CMB22,CMB,6/29/2021
CMB23,36.9,150,13,5.4,6.56,70,176,1436,193,20,17,19.5,33,111,0.5,0.3,CMB23,CMB,6/29/2021
CMB24,23.6,150,11.6,4.9,6.42,50,118,989,143,24,13,12.8,21,97,0.5,0.3,CMB24,CMB,6/29/2021
CMB25,30.5,150,13.3,5.8,6.68,112,171,1624,262,19,17,15.9,56,77,0.5,0.4,CMB25,CMB,6/29/2021
CMB26,24.5,150,11.6,5.4,6.6,49,172,1255,183,21,17,16.3,30,125,0.5,0.3,CMB26,CMB,6/29/2021
CMB27,27.2,150,8.6,5.3,6.66,71,164,819,159,21,16,14.7,33,80,0.5,0.3,CMB27,CMB,6/29/2021
CMB28,22.8,150,8,5.1,6.63,42,102,749,109,21,15,8.7,16,79,0.4,0.2,CMB28,CMB,6/29/2021
SLG1,14.7,150,4.6,5.3,6.79,51,69,473,70,12,14,2.9,37,67,0.5,0.2,SLG1,SLG,6/28/2021
SLG2,16.3,150,7.5,5.4,6.72,55,59,842,113,11,15,3.7,49,59,0.5,0.2,SLG2,SLG,6/28/2021
SLG3,23.6,150,7.6,5.5,6.73,52,75,899,106,14,16,5.8,65,94,0.6,0.2,SLG3,SLG,6/28/2021
SLG4,18.8,150,7.3,5.3,6.7,65,78,780,106,14,15,3.9,67,93,0.6,0.2,SLG4,SLG,6/28/2021
SLG5,17,150,5.2,5.4,6.78,50,61,556,82,17,15,4.7,46,85,0.5,0.1,SLG5,SLG,6/28/2021
SLG6,12.6,150,5.2,5.3,6.77,64,126,495,84,14,16,4.2,41,90,0.5,0.1,SLG6,SLG,6/28/2021
SLG7,11.2,150,6.4,5.3,6.73,43,78,665,93,13,15,13,43,89,0.9,0.2,SLG7,SLG,6/28/2021
SLG8,9.9,150,7.9,5.4,6.71,27,75,862,130,12,16,5.3,35,105,0.6,0.1,SLG8,SLG,6/28/2021
SLG9,15,150,15.8,6.6,6.84,37,88,2357,342,8,13,11.6,40,55,0.7,0.5,SLG9,SLG,6/28/2021
SLG10,15.9,150,10,5.5,6.67,36,88,1149,162,10,15,3.3,58,92,0.5,0.3,SLG10,SLG,6/28/2021
SLG11,13.7,150,20.1,7.1,6.93,48,135,3199,447,13,15,3.9,74,99,1.2,1,SLG11,SLG,6/28/2021
SLG12,6.9,150,13.2,6.9,6.91,23,84,2110,264,11,13,1.5,50,90,1,0.8,SLG12,SLG,6/28/2021
SLG13,11,150,14.9,6.9,6.91,29,119,2207,400,13,14,1.5,62,91,0.8,0.7,SLG13,SLG,6/28/2021
SLG14,6.8,150,15.7,7.3,6.93,25,72,2669,257,11,13,3.5,53,88,1.5,1,SLG14,SLG,6/28/2021
SLG15,10.4,150,11.3,6.6,6.86,35,113,1614,266,10,14,2.5,44,74,0.7,0.5,SLG15,SLG,6/28/2021
SLG16,6.8,150,8.9,6.7,6.89,60,81,1296,208,7,13,2.4,48,79,0.7,0.4,SLG16,SLG,6/28/2021
SLG17,9.4,150,15.7,6.8,6.88,76,75,2427,334,13,13,4.1,53,118,1.5,0.9,SLG17,SLG,6/28/2021
SLG18,8.6,150,17.4,7.1,6.93,66,60,2876,341,12,14,8.7,66,129,1.9,1.1,SLG18,SLG,6/28/2021
SLG19,7.2,150,15,7.1,6.93,62,64,2599,216,7,13,7,54,97,1.3,0.8,SLG19,SLG,6/28/2021
SLG20,5.9,149,13,7.3,6.93,102,91,2073,269,8,38,4,50,113,1.3,0.8,SLG20,SLG,6/28/2021
SLG21,6.1,150,9.8,6.6,6.87,65,100,1421,209,11,14,5.3,47,87,1.1,0.5,SLG21,SLG,6/28/2021
SLG22,7.8,150,14,7.1,6.93,67,77,2166,348,11,14,4.4,51,135,1.6,0.9,SLG22,SLG,6/28/2021
SLG23,7.7,150,14.7,7.1,6.93,74,89,2318,335,12,14,5.1,56,131,1.8,1,SLG23,SLG,6/28/2021
LFS1,27,150,14.1,5,6.35,148,101,1370,139,29,15,15.9,49,105,0.7,0.5,LFS1,LFS,6/28/2021
LFS2,45.2,150,20.4,5.9,6.58,138,109,2764,326,22,16,44.6,96,104,1.2,0.8,LFS2,LFS,6/28/2021
LFS3,26.8,150,21.7,5.9,6.56,116,143,2940,348,21,15,40.8,115,109,1.4,0.8,LFS3,LFS,6/28/2021
LFS4,29,150,18,5.5,6.47,101,123,2251,207,32,20,20.5,94,122,0.8,0.8,LFS4,LFS,6/28/2021
LFS5,26.6,150,20.3,5.5,6.41,101,113,2529,253,22,15,26.2,50,70,0.7,0.7,LFS5,LFS,6/28/2021
LFS6,26.9,150,20.9,5.7,6.49,83,134,2747,283,28,15,27.4,64,66,0.7,0.9,LFS6,LFS,6/28/2021
LFS7,31.9,150,18.7,5.3,6.35,137,107,2183,195,31,15,24.1,79,96,0.7,0.7,LFS7,LFS,6/28/2021
LFS8,44.6,150,0.4,6.2,6.93,1,4,43,10,1,10,0.1,1,1,0.1,0.1,LFS8,LFS,6/28/2021
LFS9,45.6,150,17.9,5.9,6.62,115,96,2512,232,27,16,24.1,115,81,0.8,0.7,LFS9,LFS,6/28/2021
LFS11,38.3,150,15.5,5.6,6.57,60,149,2004,170,33,16,20.8,54,146,0.6,0.6,LFS11,LFS,6/28/2021
LFS12,47.9,150,16.2,5.7,6.59,98,167,2097,212,24,17,21.9,119,149,0.9,0.7,LFS12,LFS,6/28/2021
LFS13,39.5,150,24.6,6.2,6.63,66,116,3771,283,24,16,43.5,63,60,1,1.2,LFS13,LFS,6/28/2021
LFS14,37,150,23.1,6.2,6.65,105,130,3492,292,22,15,33.7,141,51,1,1.2,LFS14,LFS,6/28/2021
LFS15,32.3,150,22.8,5.3,6.22,74,141,2701,217,34,15,21,64,82,0.7,1,LFS15,LFS,6/28/2021
SGC5,13.9,150,11.1,5.6,6.67,20,135,1331,171,9,15,3.9,110,82,0.7,0.3,SGC5,SGC,6/21/2021
SGC6,9.3,150,9.4,5.2,6.61,9,216,820,174,9,15,1.9,75,96,0.8,0.2,SGC6,SGC,6/21/2021
SGC7,12.1,150,10.4,5.7,6.71,10,188,1176,208,11,15,2.2,45,156,0.7,0.3,SGC7,SGC,6/21/2021
SGC8,14.2,150,10.3,5.7,6.71,11,135,1257,172,10,15,2.9,35,140,0.4,0.3,SGC8,SGC,6/21/2021
SGC9,11.1,150,11.2,5.9,6.74,10,117,1456,194,9,16,2.3,77,89,0.6,0.3,SGC9,SGC,6/21/2021
SGC10,11.5,150,6.7,5.9,6.82,13,96,855,116,9,15,2.6,50,87,0.5,0.2,SGC10,SGC,6/21/2021
SGC11,10.2,150,8.2,6,6.8,9,110,1071,150,9,14,2.4,63,82,0.6,0.3,SGC11,SGC,6/21/2021
SGC12,9.6,150,8.5,5.9,6.78,5,145,1098,131,7,14,1.9,50,92,0.6,0.3,SGC12,SGC,6/21/2021
RGT1,12.1,150,17.6,6.6,6.83,42,156,2831,240,13,16,8.5,59,121,2,1.3,RGT1,RGT,6/21/2021
RGT2,12,150,15.5,6.7,6.86,57,227,2492,209,10,15,4.4,60,98,1.1,1,RGT2,RGT,6/21/2021
RGT3,11.5,150,17,6.7,6.85,61,238,2720,226,10,16,4,68,92,1,1,RGT3,RGT,6/21/2021
RGT4,12.1,150,14.8,6.4,6.8,67,176,2181,249,10,16,4,55,95,1,0.6,RGT4,RGT,6/21/2021
RGT5,12.3,150,15.9,6.2,6.74,69,140,2264,274,6,14,3.4,72,100,1.2,0.8,RGT5,RGT,6/21/2021
RGT6,12.4,150,22,6.9,6.9,80,191,3411,486,10,15,3.7,75,120,2.1,1.2,RGT6,RGT,6/21/2021
RGT7,13.7,150,21,7,6.93,72,111,3588,329,12,15,4.7,69,101,1.5,1.1,RGT7,RGT,6/21/2021
HR1,23.2,150,8.6,6.1,6.81,59,68,1170,158,13,15,5.1,92,88,1.1,0.3,HR1,HR,5/21/2021
HR4,25.7,150,11.1,6,6.76,53,93,1455,219,13,15,4.9,82,116,0.9,0.4,HR4,HR,5/21/2021
HR5,17.3,150,8.8,6.2,6.82,49,57,1191,187,11,14,4.2,72,79,0.9,0.4,HR5,HR,5/21/2021
HR6,38.1,150,6,5.4,6.76,25,55,639,104,11,14,3.3,42,129,0.6,0.2,HR6,HR,5/21/2021
PTW1,14.4,150,9.8,5.8,6.74,46,151,1272,132,10,15,2.4,73,68,1.3,0.4,PTW1,PTW,6/21/2021
PTW2,15.1,150,9.2,5.5,6.69,41,216,1030,127,11,16,2.2,77,86,1.2,0.4,PTW2,PTW,6/21/2021
PTW3,14.6,150,5.3,5.2,6.75,37,100,515,71,14,16,1.6,56,93,1,0.2,PTW3,PTW,6/21/2021
PTW4,13.6,150,5.9,5.5,6.78,23,126,647,91,9,16,1.6,51,67,1.2,0.3,PTW4,PTW,6/21/2021
PTW5,15.4,150,7,5.8,6.8,17,133,837,131,10,15,1.7,60,86,1.9,0.3,PTW5,PTW,6/21/2021
PTW6,10.2,150,6.7,5.8,6.8,17,102,841,100,11,14,1.7,61,66,1.4,0.4,PTW6,PTW,6/21/2021
GH1,12.5,150,7.6,6.5,6.87,12,78,1198,92,8,13,11.6,65,64,0.5,0.5,GH1,GH,5/21/2021
GH2,8.5,150,8.1,5.6,6.74,83,168,902,149,15,13,6,33,123,1.3,0.3,GH2,GH,5/21/2021
LM1,41,150,6.3,5.7,6.8,26,72,786,95,12,15,5.5,181,78,0.6,0.2,LM1,LM,5/18/2021
LM2,7,150,8,5.4,6.7,57,112,855,133,11,14,3.3,26,138,1.2,0.2,LM2,LM,5/18/2021
LM3,9.4,150,5,5.2,6.76,45,92,494,63,15,14,1,68,130,0.5,0.1,LM3,LM,5/18/2021
LM4,8.7,150,10.5,6.5,6.85,60,150,1598,147,10,14,2.5,130,121,1.2,0.5,LM4,LM,5/18/2021
LM5,4.8,140,4.2,5.3,6.8,38,98,404,71,9,14,0.8,72,113,0.6,0.2,LM5,LM,5/18/2021
LM6,5.8,150,4.3,5.6,6.83,84,157,435,76,12,14,1,18,88,0.9,0.1,LM6,LM,5/18/2021
LM7,4.9,140,5.7,5.6,6.8,101,96,690,76,13,14,1.6,19,106,1.2,0.1,LM7,LM,5/18/2021
LM8,8.3,150,9.6,6.1,6.8,132,154,1281,168,11,15,2.7,35,104,0.9,0.4,LM8,LM,5/18/2021
LM9,9.1,150,12.4,6.2,6.78,225,193,1802,160,12,16,12.3,29,127,2.7,0.6,LM9,LM,6/25/2021
LM10,9.2,150,14.5,6.3,6.78,247,251,2098,216,10,15,13.4,30,121,2.9,0.9,LM10,LM,6/25/2021
LM11,9.4,150,11.7,6.3,6.81,171,243,1594,220,10,14,6.7,37,108,1.3,0.6,LM11,LM,6/25/2021
LM12,9,150,11.7,5.7,6.68,141,196,1437,171,9,15,11.4,31,143,2.2,0.4,LM12,LM,6/25/2021
LM13,8.9,150,11,6.2,6.8,164,189,1505,198,11,15,9.7,34,103,1.6,0.5,LM13,LM,6/25/2021
LM14,11.9,150,15.2,5.8,6.64,181,213,2006,196,9,15,9.8,48,107,1.9,0.6,LM14,LM,6/25/2021
LM15,10.1,150,14.8,6.1,6.73,218,177,2083,226,12,15,12.4,29,122,2.5,0.7,LM15,LM,6/25/2021
LM16,10.2,150,15.7,6.2,6.74,257,249,2140,292,10,15,17.6,42,157,3.6,0.7,LM16,LM,6/25/2021
LM17,13,150,16.8,5.9,6.64,233,131,2410,174,12,16,24.1,52,117,2.8,0.8,LM17,LM,6/25/2021
LM18,11.3,150,16.4,5.9,6.65,234,261,2248,200,13,16,17.9,42,113,2.7,0.7,LM18,LM,6/25/2021
LM19,15.8,150,19.7,6,6.63,297,197,2862,217,11,15,22.3,35,115,3.8,1.1,LM19,LM,6/25/2021
LM20,11.1,150,10.6,5.7,6.71,63,242,1142,241,10,14,11.2,28,133,0.8,0.4,LM20,LM,6/25/2021
LM21,10.6,150,13.9,5.5,6.57,56,389,1269,348,14,19,11.1,32,194,1.4,0.4,LM21,LM,6/25/2021
LM22,11.1,150,10.8,5.7,6.7,48,140,1249,224,7,15,7.8,22,95,0.7,0.4,LM22,LM,6/25/2021
LM23,14.6,150,15.8,6,6.69,78,230,1957,356,10,16,9.6,43,135,1,0.6,LM23,LM,6/25/2021
LM24,11.3,150,14.2,5.6,6.6,72,198,1592,282,11,16,10.6,37,149,1.3,0.5,LM24,LM,6/25/2021
LM25,8.3,150,11.2,5.7,6.69,68,114,1353,203,10,14,8.1,29,142,1,0.4,LM25,LM,6/25/2021
LM26,11.2,150,13.2,5.8,6.68,81,180,1551,286,10,14,8.5,35,142,1.2,0.5,LM26,LM,6/25/2021
LM27,9.6,150,13.8,5.6,6.61,55,164,1600,252,8,15,9.7,41,152,1.3,0.5,LM27,LM,6/25/2021
LM28,5.4,148,7.1,6.2,6.84,37,189,824,185,7,13,4.9,31,93,0.8,0.3,LM28,LM,6/25/2021
MKP1,7.7,150,15.7,7.2,6.93,17,82,2113,581,12,19,7.8,82,74,1.2,1.8,MKP1,MKP,7/6/2021
MKP2,6.3,150,15.1,7.1,6.93,13,82,1953,598,10,26,5.2,89,57,0.9,1.3,MKP2,MKP,7/6/2021
MKP3,8.5,150,15.9,7.3,6.93,12,94,2125,598,13,18,6.4,86,66,1.1,1.8,MKP3,MKP,7/6/2021
MKP4,6.4,150,15.2,7,6.93,7,115,1923,619,10,26,5,91,51,0.9,1.4,MKP4,MKP,7/6/2021
MKP5,9.4,150,18.5,7.4,6.93,15,99,2361,757,13,23,9.6,80,94,1.6,2,MKP5,MKP,7/6/2021
MKP6,0.5,36,19.9,7.7,6.93,3,31,3134,493,33,12,3.1,7,199,1,0.2,MKP6,MKP,7/6/2021
MKP7,9.9,150,17.2,7,6.93,25,62,2486,540,37,28,19.5,74,103,1.8,1.7,MKP7,MKP,7/6/2021
MKP8,7.5,150,14,7.4,6.93,17,59,1881,525,9,25,15.7,71,72,1.4,1.2,MKP8,MKP,7/6/2021
RF1,9.1,150,5.5,5.4,6.77,65,110,522,118,18,15,4.5,120,141,1.2,0.2,RF1,RF,7/6/2021
RF2,12.8,150,13.9,5.6,6.61,54,139,1524,314,18,15,6.7,201,100,1.3,0.5,RF2,RF,7/6/2021
RF3,11.3,150,12.3,5.9,6.72,40,116,1476,290,12,15,3.8,169,106,1,0.6,RF3,RF,7/6/2021
RF4,18.4,150,13,5.8,6.68,78,153,1341,400,18,16,6.5,204,121,1,0.6,RF4,RF,7/6/2021
RF5,12.4,150,9.3,5.4,6.67,58,108,881,230,19,15,4.8,203,144,1,0.3,RF5,RF,7/6/2021
RF6,11.8,150,11.3,6.2,6.79,50,141,1353,326,12,16,2.9,191,123,0.9,0.6,RF6,RF,7/6/2021
RF7,13.6,150,11.2,5.8,6.72,84,191,1219,298,15,14,5.9,132,113,1.1,0.4,RF7,RF,7/6/2021
RF8,14.1,150,13.1,5.1,6.44,63,146,1121,257,16,14,4.9,176,115,0.9,0.4,RF8,RF,7/6/2021
RF9,12.8,150,12,5.6,6.65,69,133,1346,248,11,14,4.7,180,110,1,0.4,RF9,RF,7/6/2021
RF10,13.1,150,13.6,5.1,6.42,75,160,1151,272,16,15,4.1,154,119,0.9,0.4,RF10,RF,7/6/2021
RF11,13.3,150,14,5,6.36,55,135,1148,254,16,15,4.4,151,112,0.9,0.4,RF11,RF,7/6/2021
RF12,15,150,10.8,5.2,6.56,57,110,982,218,14,15,5.3,164,123,0.8,0.4,RF12,RF,7/6/2021
RF13,9,150,5.4,4.6,6.64,42,79,322,69,22,15,4.9,240,157,1.1,0.2,RF13,RF,7/6/2021
TCP1,5.7,140,22,7.3,6.93,6,37,4189,111,12,15,3.5,22,122,1.4,0.7,TCP1,TCP,7/6/2021
TCP2,6.8,150,16.2,7.3,6.93,9,50,3011,108,11,16,3.7,30,126,1.1,0.8,TCP2,TCP,7/6/2021
TCP3,8.3,150,17.2,7.2,6.93,10,77,3179,129,8,15,4.6,38,132,1.2,1.1,TCP3,TCP,7/6/2021
TCP4,7.5,150,17.7,7,6.93,10,61,3303,113,11,14,4.1,39,130,1.2,1.1,TCP4,TCP,7/6/2021
TCP5,5.4,134,17.2,7.5,6.93,8,67,3237,92,14,15,3.7,30,95,1.1,0.9,TCP5,TCP,7/6/2021
TCP6,6.2,150,19.3,7.3,6.93,10,61,3611,117,13,21,5.7,36,132,2,1.2,TCP6,TCP,7/6/2021
TCP7,5.9,144,19.2,7.3,6.93,8,48,3605,123,10,16,4.8,24,145,2.3,1.1,TCP7,TCP,7/6/2021
TCP8,5.8,142,16.5,7.2,6.93,7,51,3098,97,12,14,3.5,28,130,1.6,1.1,TCP8,TCP,7/6/2021
TCP9,6.5,150,17.5,7.1,6.93,10,50,3301,95,15,16,4.9,34,104,1.6,1,TCP9,TCP,7/6/2021
TCP10,7.2,150,17.1,6.9,6.91,10,40,3193,91,12,16,4.7,32,149,1.4,1.1,TCP10,TCP,7/6/2021
PNR1,8.7,150,11.5,6.4,6.83,12,92,1647,238,8,13,5,265,102,0.9,0.7,PNR1,PNR,7/5/2021
PNR2,4.9,124,20.9,7.6,6.93,7,71,3814,196,8,13,2.3,67,61,1.3,0.9,PNR2,PNR,7/5/2021
PNR3,4.4,114,18.8,7.7,6.93,7,56,3478,139,9,15,1.6,43,72,1,0.6,PNR3,PNR,7/5/2021
PNR4,4.3,112,18.9,7.7,6.93,8,51,3536,121,8,14,1.4,35,93,1,0.5,PNR4,PNR,7/5/2021
PNR5,4.7,120,20.7,7.6,6.93,6,50,3862,144,10,15,1.5,35,95,1.4,0.6,PNR5,PNR,7/5/2021
PNR6,3.1,88,19.4,7.8,6.93,9,49,3615,142,7,13,1.5,35,65,0.8,0.5,PNR6,PNR,7/5/2021
PNR7,3.8,102,20.2,7.8,6.93,10,43,3771,147,10,13,1.7,52,79,0.8,0.6,PNR7,PNR,7/5/2021
PNR8,3.7,100,17.9,7.6,6.93,12,37,3335,124,9,14,1.5,35,59,0.7,0.5,PNR8,PNR,7/5/2021
PNR9,3.7,100,18.7,7.5,6.93,18,48,3457,147,7,13,1.6,39,62,0.8,0.7,PNR9,PNR,7/5/2021
PNR11,3.6,98,21.8,7.7,6.93,44,80,3965,205,11,13,3.8,70,97,1.2,1,PNR11,PNR,7/5/2021
PNR13,5.8,142,20.4,7.7,6.93,21,78,3777,155,12,13,3.7,98,92,1.1,1.1,PNR13,PNR,7/5/2021
PNR14,4.2,110,22.3,7.6,6.93,9,45,4217,131,9,13,2.1,36,156,1.2,0.5,PNR14,PNR,7/5/2021
PNR15,3.6,98,18.7,7.7,6.93,8,42,3472,143,13,13,2.5,51,135,1.2,0.7,PNR15,PNR,7/5/2021
