,sample_id,Ht(cm),# Leaves,Length LL (cm),Width LL (cm),Stem Diameter (mm),# Inflorescences,# Flowers Per (x2),Herbivory,length_leaf,width_leaf,apical_angle ,base_angle ,L/W,L/V,Secondary_veins,stomata_density,trichome_density,Comp.1
133,BLDRV27,57.7,12,16,7.0,7.5,0,,"1=8, 2=1",,,,,,,,,,
134,BLDRV28,119.1,26,18,8.0,10.0,4,"45(1), 42(0)","1=7, 2=1",,,,,,,,,,
135,BLDRV29,84.4,19,14.2,5.6,11.3,2,"NA(7), NA(7)","1=7, 4=1",,,,,,,,,,
136,BLDRV30,69.9,18,15.2,5.8,9.0,0,,"1=2, 2=2",,,,,,,,,,
137,SKYT10,113.2,23,19.2,10.6,14.0,5,"51(5), 52(3)",1=7,,,,,,,,,,
138,SKYT11,98.2,20,17.7,9.1,11.2,5,"62(5), 51(3)",1=3,,,,,,,,,,
139,SKYT12,110.1,22,20.4,10.0,12.9,6,"44(5), 50(5)","1=1, 2=1",,,,,,,,,,
140,SKYT13,85.8,18,16.4,7.9,10.1,4,"61(5), 75(5)","1=3, 2=1",,,,,,,,,,
141,SKYT14,32.8,8,9.6,3.0,2.5,0,,,,,,,,,,,,
142,SKYT15,100.1,23,18.4,9.4,12.3,6,"46(3), 45(1)",1=4,,,,,,,,,,
143,SKYT16,105.1,20,17.7,7.8,11.9,6,"39(6), 54(5)",1=3,,,,,,,,,,
144,SKYT17,119.7,25,17.9,7.0,10.9,7,"53(5), 62(5)",1=3,,,,,,,,,,
145,SKYT18,106.4,26,17.1,7.6,14.0,7,"31(5), 48(1)",1=4,,,,,,,,,,
146,SKYT19,92.4,19,18,7.4,9.6,6,"42(5), 43(1)",1=3,,,,,,,,,,
147,SKYT110,48.9,18,12.7,4.6,7.6,0,,1=8,,,,,,,,,,
148,SKYT111,33.9,13,11.1,3.9,5.0,0,,1=2 2=1,,,,,,,,,,
149,SKYT112,114.4,27,19.3,9.2,13.4,8,"76(5), 70(5)",1=3,,,,,,,,,,
150,SKYT113,121.6,31,19.6,9.5,12.4,10,"62(5), 74(4)",1=3,,,,,,,,,,
151,SKYT114,39.0,11,11.1,3.5,4.2,0,,,,,,,,,,,,
152,SKYT115,92.2,24,19,7.7,11.2,4,"47(1), 54(0)",1=5,,,,,,,,,,
153,SKYT116,58.1,22,16.1,6.2,7.3,0,,1=3,,,,,,,,,,
154,SKYT117,33.3,14,11.9,3.9,4.6,0,,"1=4, 2=2",,,,,,,,,,
155,SKYT118,86.3,28,17.8,8.0,12.2,6,"60(5), 58(2)",1=3,,,,,,,,,,
156,SKYT119,45.5,24,14.4,4.7,7.2,0,,1=1,,,,,,,,,,
157,SKYT120,96.7,39,16.6,7.1,13.3,8,"65(5), 79(8)",1=2,,,,,,,,,,
158,SKYT121,45.4,22,14.9,5.4,6.7,0,,1=2,,,,,,,,,,
159,SKYT122,41.2,19,13.5,4.8,6.9,0,,1=2,,,,,,,,,,
160,SKYT123,36.4,20,12.6,4.0,5.4,0,,1=3,,,,,,,,,,
161,SKYT124,48.3,22,15,5.5,7.4,0,,1=5,,,,,,,,,,
162,SKYT125,41.3,16,11.7,3.8,6.2,1,"23(4), NA",1=3,,,,,,,,,,
163,SKYT126,37.6,19,11.2,3.4,5.1,0,,,,,,,,,,,,
164,SKYT127,34.2,17,11.7,4.1,5.6,0,,"1=3, 2=1",,,,,,,,,,
165,SKYT128,67.3,25,14.3,5.6,7.2,2,"55(3), 35(0)",1=5,,,,,,,,,,
166,SKYT129,90.9,31,18.1,7.4,11.0,5,"58(5), 61(5)",1=5,,,,,,,,,,
167,SKYT130,88.1,27,19.7,7.3,11.2,5,"46(1), 39(0)",1=11,,,,,,,,,,
168,KCKT10,39.8,6,10.7,6.6,8.5,,,,,,,,,,,,,
169,KCKT11,91.9,20,14.9,8.7,9.8,,,1=6,,,,,,,,,,
170,KCKT12,46.3,14,13.1,6.4,5.0,,,1=2,,,,,,,,,,
171,KCKT13,94.2,17,14.8,7.0,8.1,1,7(NA),,,,,,,,,,,
172,KCKT14,88.0,23,16.6,9.1,9.0,2,"7(NA), 7(NA)",1=4,,,,,,,,,,
173,KCKT15,108.1,21,21.4,8.0,11.0,2,"7(NA), 7(NA)",1=1,,,,,,,,,,
174,KCKT16,120.8,27,20.3,9.1,10.4,1,7(NA),1=2,,,,,,,,,,
175,KCKT17,104.2,33,22.3,8.1,9.7,,,1=12,,,,,,,,,,
176,KCKT18,137.7,29,21.2,10.8,13.1,4,"7(NA), 7(NA)",1=4,,,,,,,,,,
177,KCKT19,119.1,31,18.2,8.9,10.2,,,1=5,,,,,,,,,,
178,KCKT110,115.5,35,18.9,9.7,11.3,,,1=1,,,,,,,,,,
179,KCKT111,104.2,35,16.1,6.6,8.5,,,1=2,,,,,,,,,,
180,KCKT112,61.1,21,16.1,5.7,8.2,,,,,,,,,,,,,
181,KCKT213,22.1,6,6.5,2.3,8.2,,,1=1,,,,,,,,,,
182,KCKT114,28.9,8,10,4.1,3.8,,,"1=1, 2=1, 5=1",,,,,,,,,,
183,KCKT115,90.0,22,17.1,7.6,8.8,,,1=4,,,,,,,,,,
184,KCKT116,86.5,20,11.6,5.3,7.0,,,1=2,,,,,,,,,,
185,KCKT117,72.9,15,13.9,5.7,7.4,,,1=1,,,,,,,,,,
186,KCKT118,93.0,21,15.6,6.2,9.9,,,,,,,,,,,,,
187,WARTT10,49.6,20,10.6,5.2,8.2,,,1=1,,,,,,,,,,
188,WARTT11,84.2,34,17.2,9.9,12.3,2,"61(7), 37(7)","1=2, 2=1",,,,,,,,,,
189,WARTT12,97.7,32,17,8.5,15.2,8,"NA(7), NA(7)",1=4,,,,,,,,,,
190,WARTT13,36.2,17,10,3.4,3.5,0,,,,,,,,,,,,
191,WARTT14,95.0,36,17,9.9,15.5,5,"NA(7), 47(7)",,,,,,,,,,,
192,WARTT15,63.1,22,13.3,5.6,9.6,2,"NA(7), NA(7)",,,,,,,,,,,
193,WARTT16,140.3,42,19.6,11.3,21.1,18,"38(7), 24(1)",1=7,,,,,,,,,,
194,WARTT17,109.1,35,18.6,9.9,14.9,6,"NA(7), NA(7)","1=6, 2=1",,,,,,,,,,
195,WARTT18,129.1,36,21.2,11.2,17.5,12,"NA(7), 52(6)","1=2, 2=2",,,,,,,,,,
196,WARTT19,78.8,22,16.4,9.0,13.2,5,"NA(7), NA(7)",1=2,,,,,,,,,,
197,WARTT110,26.9,10,7.2,2.0,3.9,,,,,,,,,,,,,
198,WARTT111,123.9,35,19.7,10.6,16.6,12,"NA(7), NA(7)",1=3,,,,,,,,,,
199,WARTT112,101.5,34,16.1,8.6,14.1,2,"46(7), 50(7)",1=7,,,,,,,,,,
200,WARTT113,104.0,33,20.1,10.1,16.5,7,"52(7), 49(6)",1=4,,,,,,,,,,
201,WARTT114,114.4,26,18.5,9.5,14.4,8,"NA(7), NA(7)",1=1,,,,,,,,,,
202,WARTT115,108.3,31,17,8.8,14.5,10,"41(5), 30(3)",1=1,,,,,,,,,,
203,WARTT116,110.4,27,17.2,8.9,15.2,6,"NA(7), NA(7)",,,,,,,,,,,
204,WARTT117,53.2,11,10.6,4.1,8.0,0,NA(7),1=1,,,,,,,,,,
205,WARTT118,79.4,24,15.1,8.4,13.2,4,NA(7),1=1,,,,,,,,,,
206,WARTT119,93.2,39,17.6,9.0,16.1,5,"68(7), 61(6)",1=1,,,,,,,,,,
207,WARTT120,73.1,28,14.9,7.1,12.4,,,,,,,,,,,,,
208,WARTT121,92.4,28,16,9.4,17.5,7,NA(7),"1=5, 2=2",,,,,,,,,,
209,WARTT122,95.4,38,17.7,9.7,15.7,6,NA(7),1=8,,,,,,,,,,
210,WARTT123,41.0,15,12,5.6,6.0,,,1=1,,,,,,,,,,
211,WARTT124,22.1,10,8.1,2.6,3.9,,,,,,,,,,,,,
212,SBR1,117.5,17,21.1,9.7,13.9,5?,3 Fruit,"1=9, 2=2",,,,,,,,,,
213,SBR2,74.9,16,16.6,8.0,9.9,2?,,"2=2, 1=8",,,,,,,,,,
214,SBR3,36.2,13,10,4.1,5.0,NA 0?,,"2=3, 1=7",,,,,,,,,,
215,SBR4,64.6,14,16,6.4,7.2,2,,"2=3, 1=9",,,,,,,,,,
216,SBR5,73.4,18,16.2,7.6,9.1,6?,1 Fruit,"1=11, 2=1",,,,,,,,,,
217,SBR6,51.5,18,15.3,6.1,7.7,0?,,"2=2, 1=13",,,,,,,,,,
218,SBR7,66.4,18,16.9,7.6,9.1,3?,,1=11,,,,,,,,,,
219,SBR8,75.9,22,17.9,8.3,9.1,5?,,"2=5, 1=13",,,,,,,,,,
220,SBR9,48.2,12,12,3.2,5.6,NA 0?,,"1=7, 2=4, 3=1",,,,,,,,,,
221,SBR10,102.4,21,19.1,8.4,11.4,5?,,"1=7, 2=2",,,,,,,,,,
222,SBR11,70.5,22,14,6.9,9.5,4?,,"1=8,  2=2",,,,,,,,,,
223,SBR12,59.4,17,14.5,5.8,7.7,0?,,"1=8, 2=2",,,,,,,,,,
224,SBR13,107.7,26,17.8,8.4,11.5,5?,3 Fruit,1=6,,,,,,,,,,
225,SBR14,80.5,22,14.7,7.0,9.7,2?,2 Fruit,"1=5, 2=1",,,,,,,,,,
226,SBR15,109.7,29,15.8,7.8,15.3,7?,,1=11,,,,,,,,,,
227,SBR16,68.8,20,13,4.7,7.5,0?,,"1=6, 2=1",,,,,,,,,,
228,SBR17,48.3,14,11.5,4.4,6.5,0?,,"1=4, 2=1",,,,,,,,,,
229,SBR18,69.3,20,13.5,4.8,9.0,0?,,1=5,,,,,,,,,,
230,SBR19,72.9,19,13.5,5.8,8.3,0?,,"1=6, 2=1",,,,,,,,,,
231,SBR20,65.2,16,12.7,3.7,7.3,0?,,"2=1, 1=4, 3=1",,,,,,,,,,
232,BTU1,120.4,26,16.4,6.4,10.9,2,2 Fruit,"1=16, 2=2",,,,,,,,,,
233,BTU2,107.1,20,16.7,6.8,9.0,2?,1 Fruit,"1=8, 2=2",,,,,,,,,,
234,BTU3,167.6,25,23.6,12.6,15.9,3?,10 Fruit,1=19,,,,,,,,,,
235,BTU4,85.1,18,19.7,9.4,8.1,0?,,"2=2, 1=11",,,,,,,,,,
236,BTU5,75.1,9,20.3,10.8,14.0,0?,,1=5,,,,,,,,,,
237,BTU6,116.2,29,18.8,9.3,10.6,1?,,"1=14, 2=1",,,,,,,,,,
238,BTU7,130.4,34,18.6,8.1,13.4,3,7 Fruit,"1=22, 2=1",,,,,,,,,,
239,BTU8,14.1,7,7.7,3.9,4.0,,,"3=3, 1=3, 2=1",,,,,,,,,,
240,BTU9,100.9,36,19.1,10.0,13.8,4?,,1=30,,,,,,,,,,
241,BTU10,105.5,34,18.1,7.5,12.2,3?,,"1=19, 2=3",,,,,,,,,,
242,BTU11,52.9,38,17.8,9.1,12.5,4?,,"1=17, 2=3",,,,,,,,,,
243,BTU12,87.9,28,13.8,6.6,8.4,,,"1=18, 2=2",,,,,,,,,,
244,BTU13,142.4,36,21.6,8.3,12.6,7?,1 Fruit,"1=19, 2=1",,,,,,,,,,
245,BTU14,110.4,32,17.9,6.6,9.7,1?,1 Fruit,"1=19, 2=2",,,,,,,,,,
246,BTU15,119.6,25,14.6,7.6,11.4,2?,,"1=23, 2=3",,,,,,,,,,
247,BTU16,30.7,9,8.5,3.2,3.1,,,"1=2, 2=4",,,,,,,,,,
248,BTU17,60.4,16,12.6,5.3,6.6,,,"3=3, 2=3, 1=7",,,,,,,,,,
249,BTU18,100.0,20,17.8,9.0,9.7,,,"1=14, 2=2",,,,,,,,,,
250,BTU19,125.1,22,18.5,8.1,9.8,4?,2 Fruit,"1=16, 2=1",,,,,,,,,,
251,BTU20,70.0,15,15.2,5.6,7.2,,,"1=12, 2=1",,,,,,,,,,
252,RRL1,90.0,13,,,6.0,4,,none,13.86187096,5.231263257,20.0465,62.7935,2.649813301,0.5898668494,23.5,243.9741329,11.0864745,1.792217083
253,RRL2,100.0,14,,,5.0,5,,none,,,,,,,,,,
254,RRL3,76.0,14,,,5.0,3,,none,12.55383524,5.426642366,35.633,53.8765,2.313370661,0.7846147022,16.0,205.7613169,4.4345898,1.862782578
255,RRL4,84.0,17,,,5.0,3,,none,13.19489781,5.181329251,24.2375,38.7905,2.546624075,0.6766614261,19.5,196.9429747,5.912786401,2.291693597
256,RRL5,130.0,18,,,7.0,2,,none,10.31948846,3.488876923,42.0265,73.5215,2.957825309,0.4127795385,25.0,220.4585538,13.3037694,1.905388603
257,RRL6,120.0,19,,,6.0,4,,none,16.40155989,5.432252653,27.8005,69.488,3.019292535,0.5964203595,27.5,176.366843,8.869179601,1.682355202
258,RRL7,100.0,14,,,6.0,4,,none,14.42028711,5.677734075,33.524,67.888,2.539796143,0.7034286393,20.5,188.1246326,14.0428677,1.830983843
259,RRL8,93.0,18,,,5.0,3,,none,14.59825802,4.567379925,20.0215,83.0295,3.196199628,0.5839303207,25.0,202.8218695,17.7383592,1.766896566
260,RRL9,106.0,16,,,6.0,5,,none,12.91182877,5.572386986,25.3355,75.407,2.317109131,0.6148489889,21.0,232.2163433,11.8255728,1.712262616
261,RRL10,93.0,19,,,5.0,1,,none,16.23326623,5.636828282,27.7165,39.066,2.879858215,0.6763860931,24.0,226.3374486,9.608277901,1.864137049
262,RRL11,146.0,20,,,8.0,6,,3=2,,,,,,,,,,
263,RRL12,114.0,16,,,7.0,5,,2=2,,,,,,,,,,
264,RRL13,126.0,26,,,8.0,9,,2=1,,,,,,,,,,
265,RRL14,102.0,18,,,7.0,2,,1=1,,,,,,,,,,
266,RRL15,144.0,24,,,9.0,8,,1=1,,,,,,,,,,
267,RRL16,141.0,24,,,9.0,6,,none,,,,,,,,,,
268,RRL17,114.0,18,,,7.0,5,,none,,,,,,,,,,
269,RRL18,142.0,19,,,8.0,5,,none,,,,,,,,,,
270,RRL19,142.0,20,,,7.0,5,,none,,,,,,,,,,
271,RRL20,110.0,16,,,8.0,3,,none,,,,,,,,,,
272,RRL21,127.0,16,,,8.0,5,,1=1,,,,,,,,,,
273,RRL22,92.0,17,,,6.0,5,,none,,,,,,,,,,
274,FRW1,130.0,11,,,10.0,5,,none,16.50553396,6.212598121,106.5285,91.0755,2.65678443,0.3929889038,42.0,291.005291,78.34441981,0.2400906994
275,FRW2,133.0,11,,,12.0,6,,none,17.81741764,7.354929694,87.3465,102.611,2.422513658,0.4003914076,44.5,285.1263962,75.38802661,1.857220334
276,FRW3,113.0,19,,,11.0,7,,none,19.26020617,9.375380658,93.9905,104.245,2.054338578,0.4328136218,44.5,305.7025279,73.17073171,0.9506579361
278,FRW4,130.0,12,,,10.0,,,none,17.62899946,8.063001605,98.2,111.222,2.186406543,0.375085095,47.0,270.4291593,66.51884701,-2.823254823
279,FRW 5,132.0,13,,,15.0,7,,none,,,,,,,,,,
280,FRW6,116.0,16,,,12.0,6,,none,17.15950071,7.4338293,111.4335,94.634,2.308298996,0.4515658082,38.0,255.7319224,56.91056911,-3.308801907
281,FRW8,119.0,16,,,10.0,3,,none,17.90911715,7.258023394,111.9325,95.12,2.467492343,0.4477279287,40.0,305.7025279,74.64892831,-2.867885559
282,FRW9,132.0,21,,,18.0,5,,none,17.85562559,6.801586841,101.217,97.343,2.625214676,0.4355030632,41.0,299.8236332,82.77900961,1.387996409
283,FRW10,141.0,14,,,15.0,3,,none,20.10964043,10.00065209,111.6065,113.8105,2.010832919,0.4731680101,42.5,296.8841858,70.95343681,-3.322679878
284,FRW11,120.0,12,,,15.0,7,,none,,,,,,,,,,
285,FRW12,107.0,13,,,11.0,5,,none,,,,,,,,,,
286,FRW13,116.0,17,,,12.0,5,,none,,,,,,,,,,
287,FRW14,128.0,17,,,15.0,6,,none,,,,,,,,,,
288,FRW15,99.0,14,,,10.0,4,,none,,,,,,,,,,
289,FRW16,115.0,18,,,11.0,4,,none,,,,,,,,,,
290,FRW17,127.0,14,,,16.0,6,,none,,,,,,,,,,
291,FRW18,128.0,8,,,15.0,5,,none,,,,,,,,,,
292,FRW19,97.0,14,,,11.0,5,,none,,,,,,,,,,
293,FRW20,114.0,13,,,13.0,5,,none,,,,,,,,,,
294,FRW21,104.0,14,,,12.0,3,,none,,,,,,,,,,
295,FRW22,102.0,17,,,14.0,5,,none,,,,,,,,,,
296,MMP1,69.0,23,,,10.0,0,,none,13.76926272,4.498923445,89.087,80.3525,3.060568354,0.3991090644,34.5,320.3997648,79.08351811,1.482290991
297,MMP2,72.0,22,,,7.0,0,,none,11.97054034,4.249712307,93.0715,80.4915,2.816788404,0.3150142196,38.0,346.8547913,103.473762,2.011770988
298,MMP3,87.5,20,,,13.0,0,,none,15.19337191,5.028176384,88.888,83.13,3.021646567,0.3946330365,38.5,382.1281599,87.21359941,1.133152702
299,MMP4,70.0,18,,,11.0,0,,none,17.77155497,5.957624798,94.6785,95.588,2.982993318,0.4181542345,42.5,279.2475015,70.21433851,-3.037259267
300,MMP5,75.5,17,,,9.0,0,,none,13.15042787,4.642848884,82.181,100.1835,2.832404887,0.3329222245,39.5,285.1263962,76.86622321,-0.1287587557
301,MMP6,68.5,19,,,12.0,0,,none,11.8080134,4.531687025,86.4235,99.9085,2.605655098,0.295200335,40.0,326.2786596,74.64892831,1.164258875
302,MMP7,89.0,18,,,11.0,6,,none,,,,,,,,,,
303,MMP8,70.0,21,,,9.0,0,,1=1,,,,,,,,,,
304,MMP9,65.0,14,,,8.0,2,,none,12.30810658,4.304217256,64.969,93.285,2.859545847,0.3372083994,36.5,276.3080541,67.99704361,-2.531630536
305,MMP10,82.0,18,,,11.0,5,,none,15.31102997,5.149408597,85.562,87.663,2.973356975,0.3876210118,39.5,352.7336861,76.86622321,-2.228242489
306,MMP11,74.0,13,,,12.0,3,,1=1,,,,,,,,,,
307,MMP12,100.0,11,,,11.0,4,,none,,,,,,,,,,
308,MMP13,85.0,19,,,14.0,2,,none,,,,,,,,,,
309,MMP14,95.0,28,,,15.0,0,,"2=1,3=1",,,,,,,,,,
310,MMP15,88.0,18,,,9.0,4,,1=1,,,,,,,,,,
311,MMP16,75.0,19,,,10.0,3,,none,,,,,,,,,,
312,MMP17,82.5,17,,,11.0,3,,none,,,,,,,,,,
313,MMP18,98.0,22,,,15.0,3,,2=2,,,,,,,,,,
314,MMP19,86.0,22,,,12.0,1,,none,,,,,,,,,,
315,MMP20,75.0,20,,,9.0,2,,1=1,,,,,,,,,,
316,CMB1,76.0,11,,,6.0,2,,5=8,16.93502556,6.259479579,78.6565,122.7,2.705500569,0.3805623722,44.5,238.0952381,62.82335551,-3.308627047
317,CMB2,109.0,18,,,11.0,5,,5=4,15.26892495,5.522864019,100.6285,111.495,2.764675157,0.3679259023,41.5,335.0970018,100.5173688,-3.47909572
318,CMB3,87.0,18,,,7.0,4,,none,12.06702135,3.781836377,71.8625,87.981,3.190783564,0.2742504853,44.0,349.7942387,70.95343681,-4.429496889
319,CMB4,110.0,20,,,11.0,6,,none,20.06607628,8.443167561,97.795,94.6,2.376605242,0.4509230626,44.5,411.5226337,87.95269771,2.002965631
320,CMB5,58.0,12,,,5.0,1,,none,16.38048732,6.334055669,96.794,103.5335,2.586097782,0.4095121829,40.0,343.9153439,76.12712491,2.261206155
321,CMB6,108.0,21,,,10.0,5,,2=1,18.29561937,7.762454459,101.053,110.424,2.356937418,0.420588951,43.5,305.7025279,86.47450111,2.135971193
322,CMB7,84.0,18,,,8.0,3,,none,18.38066801,4.590635469,115.727,113.4115,4.003948502,0.4595167003,40.0,355.6731335,86.47450111,1.623446086
323,CMB8,94.0,14,,,11.0,0,,none,13.72280821,5.072855843,82.512,120.6785,2.705144525,0.3347026392,41.0,329.218107,87.21359941,1.443250719
324,CMB9,83.0,13,,,10.0,0,,none,11.77483061,3.70753274,62.711,119.5975,3.175920872,0.3514874809,33.5,299.8236332,89.43089431,1.677072654
325,CMB10,115.0,18,,,14.0,2,,none,19.15211255,7.332487721,86.387,122.382,2.611952898,0.4848636089,39.5,299.8236332,67.99704361,1.884568239
326,CMB11,117.0,15,,,14.0,7,,none,,,,,,,,,,
327,CMB12,73.0,15,,,9.0,0,,none,,,,,,,,,,
328,CMB13,94.0,18,,,11.0,1,,none,,,,,,,,,,
329,CMB14,111.0,17,,,11.0,4,,none,,,,,,,,,,
330,CMB15,92.0,,,,10.0,0,,none,,,,,,,,,,
331,CMB16,81.0,15,,,10.0,0,,none,,,,,,,,,,
332,CMB17,90.0,18,,,10.0,0,,none,,,,,,,,,,
333,CMB18,97.0,17,,,12.0,0,,none,,,,,,,,,,
334,CMB19,104.0,13,,,10.0,4,,none,,,,,,,,,,
335,CMB20,87.0,12,,,10.0,3,,none,,,,,,,,,,
