,sample_id,Ht(cm),# Leaves,Length LL (cm),Width LL (cm),Stem Diameter (mm),# Inflorescences,# Flowers Per (x2),Herbivory,length_leaf,width_leaf,apical_angle ,base_angle ,L/W,L/V,Secondary_veins,stomata_density,trichome_density,Comp.1
336,CMB21,97.0,14,,,10.0,3,,none,,,,,,,,,,
337,CMB22,114.0,14,,,12.0,4,,none,,,,,,,,,,
338,CMB23,94.0,15,,,11.0,5,,none,,,,,,,,,,
339,CMB24,117.0,14,,,12.0,7,,1=1,,,,,,,,,,
340,CMB25,105.0,11,,,11.0,6,,none,,,,,,,,,,
341,CMB26,101.0,20,,,11.0,2,,"1=1, 2=1",,,,,,,,,,
342,CMB27,120.0,19,,,11.0,6,,none,,,,,,,,,,
343,CMB28,114.0,17,,,12.0,2,,none,,,,,,,,,,
344,SLG1,116.0,11,,,5.0,5,,none,13.84737399,6.769820932,126.8285,135.3315,2.045456464,0.4260730457,32.5,320.3997648,60.60606061,-3.939045384
345,SLG2,111.0,18,,,7.5,3,,1=3,14.57423257,7.490284075,126.0425,121.4515,1.945751646,0.3470055373,42.0,202.8218695,62.82335551,-3.228339318
346,SLG3,107.5,14,,,7.5,3,,1=1,,,,,,,,,,
347,SLG4,119.5,20,,,10.0,6,,2=1,15.52924987,6.479176745,112.9185,98.115,2.396793679,0.5354913748,29.0,296.8841858,59.12786401,1.086610022
348,SLG5,118.5,15,,,6.0,4,,"3=1, 1=3",,,,,,,,,,
349,SLG6,105.0,18,,,5.0,3,,1=3,,,,,,,,,,
350,SLG7,112.5,19,,,12.0,5,,2=2,14.40105207,7.45477084,35.5525,123.0785,1.931790042,0.9600701382,15.0,323.3392122,14.0428677,0.6982228954
351,SLG8,75.0,17,,,12.0,0,,1=1,,,,,,,,,,
352,SLG9,102.5,24,,,15.0,2,,1=1,11.52882206,6.485327222,60.03,84.6315,1.777677773,0.8539868189,13.5,232.2163433,14.0428677,0.6388431675
353,SLG10,105.0,19,,,15.0,0,,none,15.62461969,7.851705487,95.0035,116.3935,1.989965074,0.4807575289,32.5,235.1557907,47.3022912,-3.22271041
354,SLG11,110.0,26,,,13.0,0,,3=1,,,,,,,,,,
355,SLG12,113.5,26,,,20.0,5,,none,,,,,,,,,,
356,SLG13,104.5,21,,,15.0,3,,none,,,,,,,,,,
357,SLG14,96.0,15,,,15.0,3,,1=1,,,,,,,,,,
358,SLG15,85.5,24,,,10.0,0,,1=1,,,,,,,,,,
359,SLG16,93.5,20,,,7.0,0,,1=2,,,,,,,,,,
360,SLG17,119.0,18,,,8.0,5,,none,,,,,,,,,,
361,SLG18,91.0,20,,,10.0,3,,none,,,,,,,,,,
362,SLG19,145.0,23,,,14.0,7,,none,,,,,,,,,,
363,SLG20,130.0,25,,,12.0,6,,none,,,,,,,,,,
364,SLG21,106.5,18,,,9.0,0,,none,,,,,,,,,,
365,SLG22,71.5,16,,,13.0,0,,1=1,,,,,,,,,,
366,SLG23,83.5,26,,,15.0,3,,1=2,,,,,,,,,,
367,LFS1,103.0,21,,,16.0,5,,1=1,16.54198409,5.98130048,28.527,37.6945,2.765616632,0.8270992045,20.0,176.366843,0.7390983001,1.071175811
368,LFS2,99.0,15,,,8.0,1,,none,14.79609092,8.044712854,36.3765,64.975,1.839231703,0.6725495873,22.0,202.8218695,2.2172949,1.544556858
369,LFS3,95.0,13,,,6.0,3,,none,13.00585952,8.682430559,33.8045,71.1555,1.497951459,0.6845189223,19.0,238.0952381,8.869179601,2.663291795
370,LFS4,111.0,17,,,6.0,4,,none,16.33181658,8.953316499,32.716,95.314,1.824108037,0.5184703678,31.5,176.366843,7.390983001,2.068964775
371,LFS5,118.5,20,,,5.0,4,,none,18.36185945,7.813932421,22.298,47.9815,2.349887158,0.7813557212,23.5,196.9429747,13.3037694,2.617687016
372,LFS6,118.0,20,,,8.0,3,,none,14.32465089,7.596234213,30.9595,77.2685,1.885756874,0.5405528636,26.5,217.5191064,6.651884701,1.712230055
373,LFS7,121.0,18,,,7.0,2,,none,13.12221308,6.554919779,34.018,61.886,2.001887669,0.640107955,20.5,167.5485009,6.651884701,2.204399867
374,LFS8,139.0,18,,,10.0,3,,none,14.89244379,7.946828291,30.842,46.7725,1.87401102,0.6618863908,22.5,241.0346855,10.3473762,2.073890058
375,LFS9,98.0,17,,,5.0,2,,none,15.79479394,7.297954086,22.343,43.4675,2.164276968,0.619403684,25.5,182.2457378,7.390983001,2.387446751
376,LFS10,102.0,19,,,7.0,2,,none,15.56616065,6.259291358,33.6265,61.217,2.486888653,0.6485900272,24.0,211.6402116,16.9992609,1.66033949
377,LFS11,92.0,17,,,7.0,3,,none,,,,,,,,,,
378,LFS12,120.0,14,,,10.0,3,,1=1,,,,,,,,,,
379,LFS13,120.0,20,,,8.0,2,,none,,,,,,,,,,
380,LFS14,126.0,20,,,10.0,3,,none,,,,,,,,,,
381,LFS15,120.5,20,,,9.0,3,,none,,,,,,,,,,
382,SGC1,113.0,17,,,7.0,5,,none,,,,,,,,,,
383,SGC2,102.0,16,,,6.0,6,,none,,,,,,,,,,
384,SGC3,93.0,16,,,7.0,0,,none,,,,,,,,,,
385,SGC4,95.0,16,,,7.0,0,,none,,,,,,,,,,
386,SGC5,106.0,19,,,10.0,0,,none,,,,,,,,,,
387,SGC6,140.0,18,,,9.0,0,,2=1,,,,,,,,,,
388,SGC7,97.0,14,,,7.0,6,,none,,,,,,,,,,
389,SGC8,109.0,15,,,6.0,6,,none,,,,,,,,,,
390,SGC9,97.0,17,,,1.0,0,,"3=1, 6=1",,,,,,,,,,
391,SGC10,130.0,24,,,18.0,6,,none,,,,,,,,,,
392,SGC11,74.0,20,,,12.0,0,,none,18.37295056,7.977101189,35.779,71.7315,2.303211421,1.113512155,16.5,182.2457378,11.0864745,1.386582368
393,SGC12,108.0,18,,,13.0,0,,none,18.51832168,6.261719766,46.175,38.696,2.957385889,0.8230365189,22.5,129.3356849,8.869179601,0.3629008988
394,RGT1,128.0,,,,8.0,,,none,,,,,,,,,,
395,RGT2,101.0,17,,,11.0,2,,"3=3, 6=3",,,,,,,,,,
396,RGT3,97.0,16,,,10.0,4,,,,,,,,,,,,
397,RGT4,75.0,21,,,10.0,0,,none,,,,,,,,,,
398,RGT5,80.0,22,,,13.0,3,,3=8,,,,,,,,,,
399,RGT6,82.0,20,,,19.0,0,,3=9,,,,,,,,,,
400,RGT7,73.0,20,,,19.0,0,,none,,,,,,,,,,
401,HR1,47.0,10,"10, 10",,,3,,none,,,,,,,,,,
402,HR2,32.0,8,"7.5, 7.5",,,1,,none,13.21863722,7.167630533,133.464,127.738,1.844212973,0.3723559779,35.5,229.2768959,45.8240946,-2.974758293
403,HR3,41.0,10,"8.5, 7",,,1,,none,14.59919865,8.062768022,158.277,132.9055,1.810693128,0.3999780452,36.5,243.9741329,39.1722099,-2.722740704
404,HR4,42.0,10,"7.5, 7.5",,,1,,none,17.74299304,7.294693799,95.7875,111.765,2.432314985,0.4549485394,39.0,249.8530276,22.172949,-1.671650726
405,HR5,47.0,10,"9, 9",,,2,,none,12.86185043,5.275041548,94.4325,102.647,2.438246279,0.3429826781,37.5,243.9741329,18.4774575,-1.423468683
406,HR6,38.0,10,"9.5, 9",,,2,,none,13.98154477,6.059473991,98.4625,116.9325,2.307385887,0.3679353887,38.0,208.7007643,19.2165558,-2.695016169
407,PTW1,121.0,14,,,7.0,3,,none,,,,,,,,,,
408,PTW2,131.0,17,,,9.0,3,,none,,,,,,,,,,
409,PTW3,116.0,12,,,7.0,2,,none,,,,,,,,,,
410,PTW4,101.0,16,,,7.0,2,,none,,,,,,,,,,
411,PTW5,110.0,12,,,9.0,5,,none,,,,,,,,,,
412,PTW6,118.0,17,,,7.0,3,,none,,,,,,,,,,
413,PTW7,90.0,15,,,5.0,3,,none,,,,,,,,,,
414,PTW8,109.0,14,,,8.0,3,,none,,,,,,,,,,
415,PTW9,108.0,12,,,7.0,3,,1=1,,,,,,,,,,
416,PTW10,127.0,13,,,8.0,3,,none,,,,,,,,,,
417,GH1,57.0,10,"9.5, 9",,,3,,none,,,,,,,,,,
418,GH2,48.0,8,"8.5, 8",,,3,,none,,,,,,,,,,
419,LM1,57.0,14,,,,0,,none,,,,,,,,,,
420,LM2,60.0,12,"20.5, 20",,,0,,none,,,,,,,,,,
421,LM3,55.0,10,"9, 8.25",,,2,,none,,,,,,,,,,
422,LM4,47.0,8,"9.5, 9",,,2,,1=1,,,,,,,,,,
423,LM5,40.0,10,"9.5, 9",,,2,,none,,,,,,,,,,
424,LM6,58.0,10,"17, 16",,,0,,none,,,,,,,,,,
425,LM7,50.0,10,"13, 12",,,0,,none,,,,,,,,,,
426,LM8,59.0,8,"16, 16",,,0,,none,,,,,,,,,,
427,LM9,127.0,26,,,14.0,5,,none,,,,,,,,,,
428,LM10,127.0,22,,,13.0,4,,1=6,,,,,,,,,,
429,LM11,135.0,26,,,16.0,4,,2=1,,,,,,,,,,
430,LM12,124.0,32,,,15.0,5,,1=2,,,,,,,,,,
431,LM13,132.0,25,,,16.0,5,,2=3,,,,,,,,,,
432,LM14,102.0,25,,,10.0,2,,1=2,,,,,,,,,,
433,LM15,99.0,23,,,9.0,2,,1=1,,,,,,,,,,
434,LM16,91.0,22,,,14.0,4,,1=2,,,,,,,,,,
435,LM17,142.0,24,,,18.0,5,,1=2,,,,,,,,,,
436,LM18,114.0,23,,,12.0,3,,1=2,,,,,,,,,,
437,LM19,129.0,28,,,11.0,1,,1=6,,,,,,,,,,
438,LM20,142.0,25,,,19.0,3,,none,,,,,,,,,,
439,LM21,149.0,32,,,21.0,10,,1=3,,,,,,,,,,
440,LM22,133.0,31,,,17.0,2,,1=2,,,,,,,,,,
441,LM23,144.0,30,,,14.0,4,,1=3,,,,,,,,,,
442,LM24,107.0,23,,,12.0,3,,2=3,,,,,,,,,,
443,LM25,125.0,27,,,9.0,0,,2=1,,,,,,,,,,
444,LM26,143.0,26,,,13.0,1,,1=6,,,,,,,,,,
445,LM27,130.0,23,,,12.0,0,,2=5,,,,,,,,,,
446,LM28,126.0,22,,,13.0,0,,1=3,,,,,,,,,,
447,MKP1,101.0,24,,,10.0,3,,none,,,,,,,,,,
448,MKP2,124.0,28,,,7.0,6,,none,,,,,,,,,,
449,MKP3,110.0,24,,,10.0,2,,none,,,,,,,,,,
450,MKP4,115.0,22,,,10.0,3,,2=1,,,,,,,,,,
451,MKP5,135.0,26,,,10.0,2,,2=2,,,,,,,,,,
452,MKP6,124.0,28,,,19.0,5,,none,,,,,,,,,,
453,MKP7,133.0,29,,,19.0,6,,2=1,,,,,,,,,,
454,MKP8,95.0,23,,,7.0,1,,2=1,,,,,,,,,,
455,RF1,83.0,17,,,9.0,4,,1=2,,,,,,,,,,
456,RF2,104.0,19,,,11.0,6,,1=3,,,,,,,,,,
457,RF3,88.0,23,,,10.0,1,,2=1,,,,,,,,,,
458,RF4,116.0,22,,,12.0,6,,none,,,,,,,,,,
459,RF5,103.0,19,,,12.0,6,,1=1,,,,,,,,,,
460,RF6,123.0,18,,,12.0,1,,none,,,,,,,,,,
461,RF7,119.0,20,,,13.0,7,,none,,,,,,,,,,
462,RF8,94.0,19,,,10.0,3,,none,,,,,,,,,,
463,RF9,100.0,[nothing listed],,,11.0,5,,none,,,,,,,,,,
464,RF10,112.0,26,,,14.0,5,,none,,,,,,,,,,
465,RF11,103.0,22,,,12.0,1,,none,,,,,,,,,,
466,RF12,103.0,19,,,9.0,4,,none,,,,,,,,,,
467,RF13,92.0,[nothing listed],,,7.0,4,,1=1,,,,,,,,,,
468,TCP1,,,,,,,,,,,,,,,,,,
469,TCP2,,,,,,,,,,,,,,,,,,
470,TCP3,,,,,,,,,,,,,,,,,,
471,TCP4,,,,,,,,,,,,,,,,,,
472,TCP5,,,,,,,,,,,,,,,,,,
473,TCP6,,,,,,,,,,,,,,,,,,
474,TCP7,,,,,,,,,,,,,,,,,,
475,TCP8,,,,,,,,,,,,,,,,,,
476,TCP9,,,,,,,,,,,,,,,,,,
477,TCP10,,,,,,,,,,,,,,,,,,
478,PNR1,104.0,17,,,9.0,0,,1=2,,,,,,,,,,
479,PNR2,114.0,17,,,12.0,1,,1=1,,,,,,,,,,
480,PNR3,96.0,19,,,10.0,0,,none,,,,,,,,,,
481,PNR4,101.0,20,,,9.0,0,,none,,,,,,,,,,
482,PNR5,123.0,20,,,11.0,1,,1=1,,,,,,,,,,
483,PNR6,135.0,20,,,13.0,2,,none,,,,,,,,,,
484,PNR7,148.0,19,,,14.0,3,,none,,,,,,,,,,
485,PNR8,132.0,22,,,11.0,1,,none,,,,,,,,,,
486,PNR9,149.0,19,,,15.0,3,,none,,,,,,,,,,
487,PNR10,,,,,,,,,,,,,,,,,,
488,PNR11,145.0,19,,,12.0,2,,none,,,,,,,,,,
489,PNR12,,,,,,,,,,,,,,,,,,
490,PNR13,144.0,22,,,8.0,5,,none,,,,,,,,,,
491,PNR14,150.0,14,,,9.0,6,,none,,,,,,,,,,
492,PNR15,146.0,13,,,9.0,5,,none,,,,,,,,,,
493,PNR16,172.0,24,,,11.0,4,,none,,,,,,,,,,
