site_id,sample_id,Species,Ht(cm),# Leaves,Length LL (cm),Width LL (cm),Stem Diameter (mm),# Inflorescences,# Flowers Per (x2),Herbivory,date
SKY,SKYT16,,105.1,20,17.7,7.8,11.9,6,"39(6), 54(5)",1=3,7/1/2020
SKY,SKYT17,,119.7,25,17.9,7,10.9,7,"53(5), 62(5)",1=3,7/1/2020
SKY,SKYT18,,106.4,26,17.1,7.6,14,7,"31(5), 48(1)",1=4,7/1/2020
SKY,SKYT19,,92.4,19,18,7.4,9.6,6,"42(5), 43(1)",1=3,7/1/2020
SKY,SKYT110,,48.9,18,12.7,4.6,7.6,0,NA,1=8,7/1/2020
SKY,SKYT111,,33.9,13,11.1,3.9,5,0,NA,1=2 2=1,7/1/2020
SKY,SKYT112,,114.4,27,19.3,9.2,13.4,8,"76(5), 70(5)",1=3,7/1/2020
SKY,SKYT113,,121.6,31,19.6,9.5,12.4,10,"62(5), 74(4)",1=3,7/1/2020
SKY,SKYT114,,39,11,11.1,3.5,4.2,0,NA,None,7/1/2020
SKY,SKYT115,,92.2,24,19,7.7,11.2,4,"47(1), 54(0)",1=5,7/1/2020
