site_id,sample_id,Species,Ht(cm),# Leaves,Length LL (cm),Width LL (cm),Stem Diameter (mm),# Inflorescences,# Flowers Per (x2),Herbivory,date
LFS,LFS2,exaltata,99,15,,,8,1,,none,6/28/2021
LFS,LFS3,exaltata,95,13,,,6,3,,none,6/28/2021
LFS,LFS4,,111,17,,,6,4,,none,6/28/2021
LFS,LFS5,exaltata,118.5,20,,,5,4,,none,6/28/2021
LFS,LFS6,exaltata,118,20,,,8,3,,none,6/28/2021
LFS,LFS7,exaltata,121,18,,,7,2,,none,6/28/2021
LFS,LFS8,exaltata,139,18,,,10,3,,none,6/28/2021
LFS,LFS9,exaltata,98,17,,,5,2,,none,6/28/2021
LFS,LFS10,exaltata,102,19,,,7,2,,none,6/28/2021
LFS,LFS11,exaltata,92,17,,,7,3,,none,6/28/2021
LFS,LFS12,exaltata,120,14,,,10,3,,1=1,6/28/2021
LFS,LFS13,exaltata,120,20,,,8,2,,none,6/28/2021
LFS,LFS14,exaltata,126,20,,,10,3,,none,6/28/2021
LFS,LFS15,exaltata,120.5,20,,,9,3,,none,6/28/2021
SGC,SGC1,exaltata,113,17,,,7,5,,none,6/21/2021
SGC,SGC2,exaltata,102,16,,,6,6,,none,6/21/2021
SGC,SGC3,exaltata,93,16,,,7,0,,none,6/21/2021
SGC,SGC4,exaltata,95,16,,,7,0,,none,6/21/2021
SGC,SGC5,syriaca,106,19,,,10,0,,none,6/21/2021
SGC,SGC6,syriaca,140,18,,,9,0,,2=1,6/21/2021
SGC,SGC7,exaltata,97,14,,,7,6,,none,6/21/2021
SGC,SGC8,exaltata,109,15,,,6,6,,none,6/21/2021
SGC,SGC9,syriaca,97,17,,,1,0,,"3=1, 6=1",6/21/2021
SGC,SGC10,syriaca,130,24,,,18,6,,none,6/21/2021
SGC,SGC11,syriaca,74,20,,,12,0,,none,6/21/2021
SGC,SGC12,syriaca,108,18,,,13,0,,none,6/21/2021
RGT,RGT1,syriaca,128,,,,8,,,none,6/21/2021
RGT,RGT2,syriaca,101,17,,,11,2,,"3=3, 6=3",6/21/2021
RGT,RGT3,syriaca,97,16,,,10,4,,,6/21/2021
RGT,RGT4,syriaca,75,21,,,10,0,,none,6/21/2021
RGT,RGT5,syriaca,80,22,,,13,3,,3=8,6/21/2021
RGT,RGT6,syriaca,82,20,,,19,0,,3=9,6/21/2021
RGT,RGT7,syriaca,73,20,,,19,0,,none,6/21/2021
HR,HR1,quadrifolia?,47,10,"10, 10",,,3,,none,5/21/2021
HR,HR2,quadrifolia?,32,8,"7.5, 7.5",,,1,,none,5/21/2021
HR,HR3,quadrifolia?,41,10,"8.5, 7",,,1,,none,5/21/2021
HR,HR4,quadrifolia?,42,10,"7.5, 7.5",,,1,,none,5/21/2021
HR,HR5,quadrifolia?,47,10,"9, 9",,,2,,none,5/21/2021
HR,HR6,quadrifolia?,38,10,"9.5, 9",,,2,,none,5/21/2021
PTW,PTW1,exaltata,121,14,,,7,3,,none,6/21/2021
PTW,PTW2,exaltata,131,17,,,9,3,,none,6/21/2021
PTW,PTW3,exaltata,116,12,,,7,2,,none,6/21/2021
PTW,PTW4,exaltata,101,16,,,7,2,,none,6/21/2021
PTW,PTW5,exaltata,110,12,,,9,5,,none,6/21/2021
PTW,PTW6,exaltata,118,17,,,7,3,,none,6/21/2021
PTW,PTW7,exaltata,90,15,,,5,3,,none,6/21/2021
PTW,PTW8,exaltata,109,14,,,8,3,,none,6/21/2021
PTW,PTW9,exaltata,108,12,,,7,3,,1=1,6/21/2021
PTW,PTW10,exaltata,127,13,,,8,3,,none,6/21/2021
GH,GH1,,57,10,"9.5, 9",,,3,,none,5/21/2021
GH,GH2,,48,8,"8.5, 8",,,3,,none,5/21/2021
LM,LM1,quadrifolia?,57,14,,,,0,,none,5/18/2021
LM,LM2,quadrifolia?,60,12,"20.5, 20",,,0,,none,5/18/2021
LM,LM3,quadrifolia?,55,10,"9, 8.25",,,2,,none,5/18/2021
LM,LM4,quadrifolia?,47,8,"9.5, 9",,,2,,1=1,5/18/2021
LM,LM5,quadrifolia?,40,10,"9.5, 9",,,2,,none,5/18/2021
LM,LM6,quadrifolia?,58,10,"17, 16",,,0,,none,5/18/2021
LM,LM7,quadrifolia?,50,10,"13, 12",,,0,,none,5/18/2021
LM,LM8,quadrifolia?,59,8,"16, 16",,,0,,none,5/18/2021
LM,LM9,syriaca,127,26,,,14,5,,none,6/25/2021
LM,LM10,syriaca,127,22,,,13,4,,1=6,6/25/2021
LM,LM11,syriaca,135,26,,,16,4,,2=1,6/25/2021
LM,LM12,syriaca,124,32,,,15,5,,1=2,6/25/2021
LM,LM13,syriaca,132,25,,,16,5,,2=3,6/25/2021
LM,LM14,syriaca,102,25,,,10,2,,1=2,6/25/2021
LM,LM15,syriaca,99,23,,,9,2,,1=1,6/25/2021
LM,LM16,syriaca,91,22,,,14,4,,1=2,6/25/2021
LM,LM17,syriaca,142,24,,,18,5,,1=2,6/25/2021
LM,LM18,syriaca,114,23,,,12,3,,1=2,6/25/2021
LM,LM19,syriaca,129,28,,,11,1,,1=6,6/25/2021
LM,LM20,syriaca,142,25,,,19,3,,none,6/25/2021
LM,LM21,syriaca,149,32,,,21,10,,1=3,6/25/2021
LM,LM22,syriaca,133,31,,,17,2,,1=2,6/25/2021
LM,LM23,syriaca,144,30,,,14,4,,1=3,6/25/2021
LM,LM24,syriaca,107,23,,,12,3,,2=3,6/25/2021
LM,LM25,syriaca,125,27,,,9,0,,2=1,6/25/2021
LM,LM26,syriaca,143,26,,,13,1,,1=6,6/25/2021
LM,LM27,syriaca,130,23,,,12,0,,2=5,6/25/2021
LM,LM28,syriaca,126,22,,,13,0,,1=3,6/25/2021
MKP,MKP1,syriaca,101,24,,,10,3,,none,7/6/2021
MKP,MKP2,syriaca,124,28,,,7,6,,none,7/6/2021
MKP,MKP3,syriaca,110,24,,,10,2,,none,7/6/2021
MKP,MKP4,syriaca,115,22,,,10,3,,2=1,7/6/2021
MKP,MKP5,syriaca,135,26,,,10,2,,2=2,7/6/2021
MKP,MKP6,syriaca,124,28,,,19,5,,none,7/6/2021
MKP,MKP7,syriaca,133,29,,,19,6,,2=1,7/6/2021
MKP,MKP8,syriaca,95,23,,,7,1,,2=1,7/6/2021
RF,RF1,syriaca,83,17,,,9,4,,1=2,7/6/2021
RF,RF2,syriaca,104,19,,,11,6,,1=3,7/6/2021
RF,RF3,syriaca,88,23,,,10,1,,2=1,7/6/2021
RF,RF4,syriaca,116,22,,,12,6,,none,7/6/2021
RF,RF5,syriaca,103,19,,,12,6,,1=1,7/6/2021
RF,RF6,syriaca,123,18,,,12,1,,none,7/6/2021
RF,RF7,syriaca,119,20,,,13,7,,none,7/6/2021
RF,RF8,[nothing listed],94,19,,,10,3,,none,7/6/2021
RF,RF9,syriaca,100,[nothing listed],,,11,5,,none,7/6/2021
RF,RF10,syriaca,112,26,,,14,5,,none,7/6/2021
RF,RF11,syriaca,103,22,,,12,1,,none,7/6/2021
RF,RF12,syriaca,103,19,,,9,4,,none,7/6/2021
RF,RF13,exaltata,92,[nothing listed],,,7,4,,1=1,7/6/2021
TCP,TCP1,syriaca,,,,,,,,,7/6/2021
TCP,TCP2,syriaca,,,,,,,,,7/6/2021
TCP,TCP3,syriaca,,,,,,,,,7/6/2021
TCP,TCP4,syriaca,,,,,,,,,7/6/2021
TCP,TCP5,syriaca,,,,,,,,,7/6/2021
TCP,TCP6,syriaca,,,,,,,,,7/6/2021
TCP,TCP7,syriaca,,,,,,,,,7/6/2021
TCP,TCP8,syriaca,,,,,,,,,7/6/2021
TCP,TCP9,syriaca,,,,,,,,,7/6/2021
TCP,TCP10,syriaca,,,,,,,,,7/6/2021
PNR,PNR1,syriaca,104,17,,,9,0,,1=2,7/5/2021
PNR,PNR2,hybrid,114,17,,,12,1,,1=1,7/5/2021
PNR,PNR3,syriaca,96,19,,,10,0,,none,7/5/2021
PNR,PNR4,hybrid,101,20,,,9,0,,none,7/5/2021
PNR,PNR5,syriaca,123,20,,,11,1,,1=1,7/5/2021
PNR,PNR6,hybrid,135,20,,,13,2,,none,7/5/2021
PNR,PNR7,hybrid,148,19,,,14,3,,none,7/5/2021
PNR,PNR8,hybrid,132,22,,,11,1,,none,7/5/2021
PNR,PNR9,hybrid,149,19,,,15,3,,none,7/5/2021
PNR,PNR10,,,,,,,,,,7/5/2021
PNR,PNR11,hybrid,145,19,,,12,2,,none,7/5/2021
PNR,PNR12,,,,,,,,,,7/5/2021
PNR,PNR13,syriaca,144,22,,,8,5,,none,7/5/2021
PNR,PNR14,hybrid,150,14,,,9,6,,none,7/5/2021
PNR,PNR15,syriaca,146,13,,,9,5,,none,7/5/2021
PNR,PNR16,syriaca,172,24,,,11,4,,none,7/5/2021
