sample_id,site,OM,ENR,CEC,pH,BpH,Phosphorus,Potassium,Calcium,Magnesium,Sulfur,Sodium,Zinc,Manganese,Iron,Copper,Boron
BTU8,BTU,4.5,128,8.5,6.2,6.83,15,100,1282,94,4,8,7.6,39,119,3.1,0.4
KCKT10,KCKT,3.7,116,5.3,5.8,6.83,56,45,709,67,5,11,2,16,141,2,0.4
KCKT111,KCKT,4.1,121,7.5,6.3,6.85,34,58,1124,102,3,14,3.1,28,153,0.7,0.4
KCKT112,KCKT,3.2,110,2.8,5.4,6.85,18,45,273,54,9,11,3.3,9,171,0.7,0.3
KCKT113,KCKT,6.3,150,4.8,4.9,6.72,18,40,420,59,8,9,3.5,11,162,0.7,0.3
KCKT116,KCKT,4.8,140,4.1,5.3,6.8,47,46,443,54,4,9,3.7,12,147,0.8,0.3
KCKT118,KCKT,3.6,116,4.1,5.4,6.81,31,43,484,42,7,9,2.9,15,138,0.8,0.3
KCKT12,KCKT,4,126,3.1,5.5,6.85,67,28,369,42,7,8,1.6,8,116,0.6,0.2
KCKT13,KCKT,3.2,107,5.2,5.7,6.82,33,35,672,71,7,10,2.8,12,135,0.7,0.3
KCKT14,KCKT,3.6,116,4.5,5.8,6.84,43,36,594,62,6,12,2,14,171,4.6,0.3
KCKT17,KCKT,7.3,150,8.6,5.5,6.71,42,47,1024,126,6,19,3.1,17,231,0.9,0.4
KCKT18,KCKT,4.9,140,5.4,5.7,6.82,35,46,675,88,6,14,2.2,15,166,0.6,0.2
KCKT19,KCKT,5.6,150,8.5,6.4,6.85,30,32,1330,108,7,15,2.3,27,217,0.6,0.5
SKYT10,SKYT,8.6,150,13.2,6.1,6.75,60,470,1573,277,4,10,2.8,60,130,1.3,0.7
SKYT11,SKYT,8.2,150,12.7,5.9,6.71,45,279,1524,250,7,11,2.9,57,142,1.4,0.6
SKYT110,SKYT,6.7,150,8.2,5.7,6.76,19,295,930,127,6,8,2.4,31,94,0.8,0.4
SKYT111,SKYT,4.7,130,9.6,5.3,6.63,21,254,993,112,11,8,2.8,30,134,1,0.5
SKYT112,SKYT,5.1,138,9.6,5.5,6.68,26,265,1041,144,6,8,2.8,28,112,0.9,0.5
SKYT113,SKYT,5.6,147,10.3,5.5,6.66,23,254,1122,162,7,8,3,30,98,0.8,0.4
SKYT114,SKYT,6,150,10.2,5.1,6.55,22,190,942,134,6,10,2.1,23,132,0.9,0.4
SKYT115,SKYT,5.9,150,9.6,5.5,6.68,24,195,1045,156,8,10,2.1,32,125,0.9,0.4
SKYT116,SKYT,6.2,150,9.9,5.4,6.65,26,228,1051,151,6,10,2.1,29,114,0.8,0.4
SKYT117,SKYT,6.8,150,9.2,5,6.55,22,205,775,120,9,10,2.2,24,142,0.7,0.3
SKYT118,SKYT,6.1,150,9.8,5.4,6.65,21,293,1013,140,8,10,2.3,28,119,0.8,0.4
SKYT119,SKYT,6.5,150,9,5.5,6.7,25,225,985,136,12,10,2.4,26,110,0.8,0.4
SKYT12,SKYT,4.8,131,10.8,5.8,6.72,58,303,1315,162,12,8,3,62,126,1.5,0.6
SKYT120,SKYT,4.7,131,8.8,5.4,6.68,24,254,907,133,9,9,2.1,23,114,0.7,0.4
SKYT121,SKYT,4.5,130,7.2,5.3,6.71,22,196,719,102,7,8,1.7,20,99,0.7,0.3
SKYT122,SKYT,4.5,129,7.8,5.5,6.73,22,169,859,124,4,9,1.8,24,112,0.8,0.4
SKYT123,SKYT,5,141,6,5.3,6.74,20,96,649,72,7,7,2,27,85,0.8,0.3
SKYT124,SKYT,5.5,147,9.2,5.1,6.58,20,160,848,125,10,10,2.3,65,224,1.1,0.5
SKYT125,SKYT,6.5,150,8.3,5.3,6.67,19,173,877,100,7,7,2.2,52,125,0.8,0.3
SKYT126,SKYT,5.9,150,6,5.4,6.76,14,164,632,80,9,7,1.7,26,78,0.7,0.2
SKYT127,SKYT,6.9,150,10,5.2,6.59,117,188,1009,129,8,10,8.9,57,157,1.1,0.4
SKYT128,SKYT,6.3,150,8.8,5.2,6.63,24,265,808,121,9,10,2.5,44,127,0.9,0.3
SKYT129,SKYT,4.7,132,8.2,5.4,6.7,23,237,876,106,9,8,2.4,58,108,1.1,0.4
SKYT13,SKYT,5.3,139,11.6,5.8,6.71,68,399,1309,216,8,10,3.4,53,149,1.4,0.7
SKYT130,SKYT,5,136,9.5,5.1,6.57,21,201,868,124,7,10,2.7,44,138,1,0.3
SKYT14,SKYT,5.8,150,10.8,5.6,6.68,53,347,1208,160,8,8,2.8,44,121,1.3,0.4
SKYT15,SKYT,5.8,150,10,5.6,6.7,43,325,1142,134,13,8,2.8,47,116,1.1,0.5
SKYT16,SKYT,5.7,150,8.1,5.7,6.76,27,268,959,106,6,8,2.1,39,104,1,0.4
SKYT17,SKYT,6.3,150,9.1,4.9,6.53,28,204,731,101,5,10,3.9,45,175,1.1,0.4
SKYT18,SKYT,11.9,150,11.2,4.8,6.41,61,201,870,129,11,9,7.6,44,173,0.9,0.3
SKYT19,SKYT,8.5,150,8.5,5.1,6.61,35,413,598,143,11,10,3.7,30,153,0.8,0.4
WARTT10,WARTT,2.2,88,4,5.9,6.86,74,79,426,111,10,8,2.3,32,86,0.4,0.2
WARTT11,WARTT,2.5,93,5.2,5.1,6.73,72,57,394,130,4,11,2.6,36,114,0.4,0.2
WARTT110,WARTT,2.1,87,3.8,4.9,6.76,78,84,250,66,8,30,2.6,34,102,0.4,0.2
WARTT111,WARTT,1.4,74,3,4.9,6.8,109,57,211,58,8,9,2.3,31,94,0.3,0.2
WARTT112,WARTT,2.3,92,2.6,4.8,6.81,63,41,174,42,8,12,1.6,22,99,0.5,0.1
WARTT113,WARTT,1.6,78,3.1,6.1,6.89,50,65,360,85,5,12,1.9,22,69,0.3,0.1
WARTT114,WARTT,6.8,150,3.1,5.9,6.88,75,59,357,69,8,10,2.2,26,110,0.3,0.2
WARTT115,WARTT,0.8,63,2.3,5.9,6.89,42,52,249,56,4,10,1.4,17,75,0.4,0.1
WARTT116,WARTT,1.6,78,2.8,6,6.89,65,64,300,77,5,11,1.4,19,111,0.4,0.2
WARTT117,WARTT,1.5,75,3.3,5.4,6.84,67,91,310,66,8,8,2,23,80,0.4,0.2
WARTT118,WARTT,0.9,65,2.1,6.1,6.9,63,66,235,52,1,8,1.7,20,79,0.4,0.2
WARTT119,WARTT,1.7,79,3.3,5.1,6.81,60,70,258,63,9,13,2.1,27,118,0.3,0.2
WARTT12,WARTT,2.4,90,5.6,5.3,6.76,83,66,485,144,7,13,3,33,116,0.5,0.2
WARTT120,WARTT,1.5,75,3.2,5.2,6.82,42,53,277,66,7,11,2,24,119,0.4,0.2
WARTT121,WARTT,0.8,63,2,5.6,6.88,27,42,193,46,4,11,1.4,20,60,0.2,0.1
WARTT122,WARTT,1.5,75,3.2,5.7,6.86,47,93,301,82,8,10,2.2,27,102,0.3,0.2
WARTT123,WARTT,1.1,68,2.5,5.3,6.85,45,45,232,46,6,9,2.1,32,89,0.3,0.1
WARTT124,WARTT,1.5,77,2.2,5.3,6.86,40,47,200,40,5,8,1.9,27,69,0.3,0.1
WARTT13,WARTT,2.6,96,4,6,6.87,79,73,423,126,9,9,3,35,97,0.4,0.2
WARTT14,WARTT,2.1,85,4.8,6.1,6.86,71,83,512,155,6,10,3,30,103,0.5,0.2
WARTT15,WARTT,2.1,84,5.7,5.6,6.8,80,115,545,163,5,11,3.2,34,111,0.4,0.3
WARTT16,WARTT,2.1,87,3.8,5.7,6.85,68,54,375,115,6,10,2.6,28,98,0.4,0.2
WARTT17,WARTT,2.3,90,4.3,6.2,6.88,67,74,515,119,7,11,2.1,24,101,0.5,0.3
WARTT18,WARTT,2.1,86,4,5.4,6.82,67,67,360,96,9,18,2.1,28,111,0.5,0.2
WARTT19,WARTT,1.8,81,3.7,4.9,6.77,94,61,263,68,8,13,2.6,31,126,0.4,0.1
BTU10,BTU,5.9,150,9.5,5.6,6.71,11,181,1063,171,8,11,3.8,55,160,4.6,0.4
BTU11,BTU,6.1,150,8.4,5.7,6.75,7,66,1096,105,2,11,4.2,31,209,4.3,0.4
BTU12,BTU,4.6,132,6.9,5.9,6.81,7,70,960,85,6,10,3.5,30,171,3.9,0.3
BTU13,BTU,6.1,150,8.9,6,6.79,13,132,1178,145,3,8,3.5,47,116,4,0.5
BTU15,BTU,5.6,148,9.7,6,6.78,9,105,1358,126,1,12,4.7,47,209,4.3,0.4
BTU16,BTU,5.7,150,9.1,5.8,6.76,9,86,1268,99,6,9,5.8,42,161,3.7,0.5
BTU17,BTU,6.8,150,6.9,6.3,6.86,11,96,1046,79,4,10,4.8,33,125,3.4,0.4
BTU18,BTU,5.9,150,9.6,5.8,6.75,10,139,1227,151,1,10,4.1,39,182,4.6,0.5
BTU19,BTU,6.9,150,9.5,5.9,6.77,10,124,1299,129,2,9,4.6,33,153,4.6,0.5
BTU20,BTU,5.4,147,7.5,5.7,6.77,8,214,810,151,8,10,3.4,52,161,5.5,0.4
BTU9,BTU,6.5,150,8.2,5.5,6.72,12,183,875,144,8,8,4.3,49,133,3.6,0.4
LFS1,LFS,27,150,14.1,5,6.35,148,101,1370,139,29,15,15.9,49,105,0.7,0.5
LFS2,LFS,45.2,150,20.4,5.9,6.58,138,109,2764,326,22,16,44.6,96,104,1.2,0.8
SLG11,SLG,13.7,150,20.1,7.1,6.93,48,135,3199,447,13,15,3.9,74,99,1.2,1
SLG12,SLG,6.9,150,13.2,6.9,6.91,23,84,2110,264,11,13,1.5,50,90,1,0.8
SLG13,SLG,11,150,14.9,6.9,6.91,29,119,2207,400,13,14,1.5,62,91,0.8,0.7
SLG14,SLG,6.8,150,15.7,7.3,6.93,25,72,2669,257,11,13,3.5,53,88,1.5,1
SLG15,SLG,10.4,150,11.3,6.6,6.86,35,113,1614,266,10,14,2.5,44,74,0.7,0.5
SLG16,SLG,6.8,150,8.9,6.7,6.89,60,81,1296,208,7,13,2.4,48,79,0.7,0.4
SLG17,SLG,9.4,150,15.7,6.8,6.88,76,75,2427,334,13,13,4.1,53,118,1.5,0.9
SLG18,SLG,8.6,150,17.4,7.1,6.93,66,60,2876,341,12,14,8.7,66,129,1.9,1.1
SLG19,SLG,7.2,150,15,7.1,6.93,62,64,2599,216,7,13,7,54,97,1.3,0.8
SLG20,SLG,5.9,149,13,7.3,6.93,102,91,2073,269,8,38,4,50,113,1.3,0.8
SLG21,SLG,6.1,150,9.8,6.6,6.87,65,100,1421,209,11,14,5.3,47,87,1.1,0.5
SLG22,SLG,7.8,150,14,7.1,6.93,67,77,2166,348,11,14,4.4,51,135,1.6,0.9
SLG23,SLG,7.7,150,14.7,7.1,6.93,74,89,2318,335,12,14,5.1,56,131,1.8,1
FRW1,FRW,9.8,150,13.6,6.4,6.81,26,170,2184,120,8,18,5.7,40,110,2.6,0.7
FRW10,FRW,8.3,150,12.6,6.8,6.89,27,123,2203,102,8,16,4.1,45,94,2.7,0.7
FRW2,FRW,6.7,150,12.4,6.8,6.89,36,131,2118,115,9,16,4.6,50,103,2.5,0.7
FRW3,FRW,11.2,150,15,6.4,6.8,25,133,2437,127,9,21,6.4,50,112,2.4,0.9
FRW4,FRW,11.5,150,15.2,6.6,6.84,27,157,2548,133,8,16,5.5,45,117,2.6,1
FRW5,FRW,10.3,150,14,6.6,6.85,25,140,2339,125,6,18,4.5,45,103,2.6,0.8
FRW6,FRW,12.8,150,15.2,6.3,6.77,34,152,2392,143,9,19,5,37,113,2.3,0.8
FRW8,FRW,11.3,150,15.5,6.7,6.86,39,180,2620,132,11,36,6,46,109,2.4,1
FRW9,FRW,9,150,13.1,6.4,6.81,24,191,2077,112,8,16,3.9,41,113,2.2,0.7
RRL1,RRL,19.4,150,9.5,5.9,6.77,10,180,1200,153,8,38,2.2,68,82,4.1,0.3
RRL10,RRL,15.2,150,4.6,5.3,6.79,6,91,442,79,11,17,1.1,86,96,3,0.2
RRL11,RRL,21.4,150,8.8,5.5,6.7,8,105,1013,133,11,18,2.5,130,110,3.3,0.2
RRL12,RRL,17.9,150,9.6,5.6,6.71,8,144,1107,169,10,18,2.5,115,92,3.5,0.3
RRL13,RRL,15.3,150,7.9,5.6,6.75,7,118,919,129,8,18,2.3,73,76,2.9,0.3
RRL14,RRL,14.2,150,6.3,6.2,6.85,7,138,788,133,6,17,2.4,97,62,1.6,0.3
RRL15,RRL,13.8,150,7.6,5.9,6.8,8,132,935,146,8,19,3.1,77,94,2.8,0.2
RRL16,RRL,12.4,150,6.4,5.4,6.75,7,184,646,102,11,17,1.9,74,75,2.7,0.2
RRL17,RRL,14.7,150,6.7,6,6.83,9,172,824,133,7,16,2.6,87,76,1.8,0.2
RRL18,RRL,12.6,150,7.7,6.2,6.84,7,134,1028,151,8,19,2.7,94,90,1.9,0.3
RRL19,RRL,10.5,150,6.8,6.3,6.86,7,144,863,156,5,20,2.5,116,78,1.5,0.2
RRL2,RRL,21.3,150,8.4,6,6.8,9,170,1069,148,12,19,3,93,75,4.5,0.4
RRL20,RRL,13.1,150,4.4,5,6.75,7,97,355,64,12,17,1.1,56,83,1.9,0.2
RRL21,RRL,11.2,150,4.2,5.6,6.83,5,143,402,85,7,16,1.5,35,81,2.5,0.2
RRL22,RRL,15.7,150,7.5,5.8,6.79,8,155,870,149,6,18,2.3,91,73,2.1,0.3
RRL3,RRL,22.5,150,7.1,5.9,6.81,16,119,853,153,13,18,3.8,97,100,2.9,0.2
RRL4,RRL,28.9,150,8.1,5.5,6.72,17,114,878,148,11,17,3.1,79,131,2.6,0.2
