Plot,Plant,Species,length_leaf,width_leaf,apical_angle ,base_angle ,L/W,L/V,Secondary_veins,stomata_density,trichome_density,Comp.1
SGC2,5,syriaca,19.64214096,8.619637511,113.6465,83.617,2.278766472,0.7274867024,27,264.5502646,44.345898,-2.241243854
SGC2,10,syriaca,17.06548234,6.729092288,103.02,108.6995,2.536074943,0.3834939852,44.5,311.5814227,59.12786401,0.6005069206
SGC2,4,syriaca,14.9082248,6.509256885,74.967,114.5685,2.290311331,0.3073860783,48.5,279.2475015,75.38802661,0.923438197
SGC2,2,syriaca,10.84043906,4.438805157,69.634,103.948,2.442197546,0.2779599759,39,267.4897119,59.12786401,2.017701218
SGC2,6,syriaca,16.8409278,6.755,103.6885,93.411,2.493105521,0.5181823937,32.5,264.5502646,48.0413895,1.69484605
SGC2,3,syriaca,16.41168273,7.636675226,119.6335,100.1795,2.149061239,0.3491847388,47,267.4897119,58.38876571,1.618006806
SGC2,1,syriaca,15.5162754,8.078153476,111.0475,126.8735,1.920770068,0.3266584295,47.5,223.3980012,53.95417591,-2.933374672
SLG,1,syriaca,13.84737399,6.769820932,126.8285,135.3315,2.045456464,0.4260730457,32.5,320.3997648,60.60606061,-3.939045384
SLG,2,syriaca,14.57423257,7.490284075,126.0425,121.4515,1.945751646,0.3470055373,42,202.8218695,62.82335551,-3.228339318
,,,,,,,,,,,,-2.054649472
