,V1,V2,Name,Name_1
93,0.849467133,0.150532867,LFS11-exaltata,LFS11-exaltata
94,3.52e-05,0.999964791,SGC12-,SGC12-
95,0.738083374,0.261916626,HR1-quadrifolia,HR1-quadrifolia
96,0.75375204,0.24624796,PTW3-exaltata,PTW3-exaltata
97,0.816879109,0.183120891,GH1-,GH1-
98,0.000614008,0.999385992,LM7-quadrifolia,LM7-quadrifolia
99,0.023169081,0.976830919,LM15-syriaca,LM15-syriaca
100,0.017437742,0.982562258,LM23-syriaca,LM23-syriaca
101,0.013291859,0.986708141,MKP5-syriaca,MKP5-syriaca
102,0.104022933,0.895977067,RF5-syriaca,RF5-syriaca
103,0.778834365,0.221165635,LFS3-exaltata,LFS3-exaltata
104,0.745352851,0.254647149,LFS12-exaltata,LFS12-exaltata
105,3.9e-11,1.0,SGC5-,SGC5-
106,7.29e-05,0.999927077,RGT1-syriaca,RGT1-syriaca
107,0.931272096,0.068727904,HR2-quadrifolia,HR2-quadrifolia
108,0.809388787,0.190611213,PTW4-exaltata,PTW4-exaltata
109,0.004824874,0.995175126,LM8-quadrifolia,LM8-quadrifolia
110,0.068588136,0.931411864,LM16-syriaca,LM16-syriaca
111,0.054029707,0.945970293,LM25-syriaca,LM25-syriaca
112,0.035200284,0.964799716,MKP6-syriaca,MKP6-syriaca
113,0.999998537,1.46e-06,LFS4-exaltata,LFS4-exaltata
114,0.889442528,0.110557472,LFS13-exaltata,LFS13-exaltata
115,0.000717107,0.999282893,RGT2-syriaca,RGT2-syriaca
116,0.556127463,0.443872537,HR3-quadrifolia,HR3-quadrifolia
117,0.75492487,0.24507513,PTW5-exaltata,PTW5-exaltata
118,0.003948025,0.996051975,LM1-quadrifolia,LM1-quadrifolia
119,0.052886087,0.947113913,LM9-syriaca,LM9-syriaca
120,0.029370801,0.970629199,LM17-syriaca,LM17-syriaca
121,0.001928329,0.998071671,SLG21-syriaca,SLG21-syriaca
122,2.07e-05,0.99997927,MKP7-syriaca,MKP7-syriaca
123,0.939530535,0.060469465,LFS5-exaltata,LFS5-exaltata
124,0.584650002,0.415349998,LFS14-exaltata,LFS14-exaltata
125,4.05e-13,1.0,RGT3-syriaca,RGT3-syriaca
126,0.985029884,0.014970116,HR4-quadrifolia,HR4-quadrifolia
127,0.889679778,0.110320222,PTW6-exaltata,PTW6-exaltata
128,0.119788247,0.880211753,SLG17-syriaca,SLG17-syriaca
129,1.1e-05,0.99998903,LM10-syriaca,LM10-syriaca
130,0.078839017,0.921160983,LM18-syriaca,LM18-syriaca
131,0.022240909,0.977759091,LM28-syriaca,LM28-syriaca
132,0.001406958,0.998593042,MKP8-syriaca,MKP8-syriaca
133,1.27e-05,0.999987321,RF8-syriaca,RF8-syriaca
134,0.749654248,0.250345752,LFS6-exaltata,LFS6-exaltata
135,0.750223701,0.249776299,LFS15-exaltata,LFS15-exaltata
136,5.87e-08,0.999999941,RGT4-syriaca,RGT4-syriaca
137,0.871563798,0.128436202,HR5-quadrifolia,HR5-quadrifolia
138,0.858935193,0.141064807,PTW7-exaltata,PTW7-exaltata
139,0.900746891,0.099253109,LM3-quadrifolia,LM3-quadrifolia
140,2.79e-06,0.999997212,LM11-syriaca,LM11-syriaca
141,0.03928805,0.96071195,MKP1-syriaca,MKP1-syriaca
142,0.099873754,0.900126246,RF1-syriaca,RF1-syriaca
143,0.010697208,0.989302792,RF9-syriaca,RF9-syriaca
144,0.729682582,0.270317418,LFS7-exaltata,LFS7-exaltata
145,0.934082753,0.065917247,SGC1-,SGC1-
146,8.98e-07,0.999999102,SGC9-,SGC9-
147,0.000491581,0.999508419,RGT5-syriaca,RGT5-syriaca
148,0.740682725,0.259317275,HR6-quadrifolia,HR6-quadrifolia
149,0.622845958,0.377154042,PTW8-exaltata,PTW8-exaltata
150,0.006060674,0.993939326,LM12-syriaca,LM12-syriaca
151,3.15e-07,0.999999685,LM20-syriaca,LM20-syriaca
152,0.022972569,0.977027431,MKP2-syriaca,MKP2-syriaca
153,0.073558211,0.926441789,RF2-syriaca,RF2-syriaca
154,0.040955178,0.959044822,RF10-syriaca,RF10-syriaca
155,0.757396793,0.242603207,LFS8-exaltata,LFS8-exaltata
156,0.736406615,0.263593385,SGC2-,SGC2-
157,0.000853463,0.999146537,SGC10-,SGC10-
158,2.87e-05,0.999971273,RGT6-syriaca,RGT6-syriaca
159,0.91275769,0.08724231,PTW1-exaltata,PTW1-exaltata
160,0.686040116,0.313959884,PTW9-exaltata,PTW9-exaltata
161,0.006113067,0.993886933,LM13-syriaca,LM13-syriaca
162,0.000919164,0.999080836,LM21-syriaca,LM21-syriaca
163,0.0583956,0.9416044,MKP3-syriaca,MKP3-syriaca
164,0.015852257,0.984147743,RF3-syriaca,RF3-syriaca
165,0.006685551,0.993314449,RF11-syriaca,RF11-syriaca
166,0.465791189,0.534208811,LFS9-exaltata,LFS9-exaltata
167,0.667995001,0.332004999,SGC3-,SGC3-
168,2.43e-09,0.999999998,SGC11-,SGC11-
169,6.5e-07,0.99999935,RGT7-syriaca,RGT7-syriaca
170,0.900575798,0.099424202,PTW2-exaltata,PTW2-exaltata
171,0.211879229,0.788120771,PTW10-exaltata,PTW10-exaltata
172,3.79e-06,0.999996209,LM14-syriaca,LM14-syriaca
173,0.00386255,0.99613745,LM22-syriaca,LM22-syriaca
174,2.38e-06,0.999997617,MKP4-syriaca,MKP4-syriaca
175,0.067115809,0.932884191,RF4-syriaca,RF4-syriaca
176,0.066615797,0.933384203,RF12-syriaca,RF12-syriaca
177,0.246073424,0.753926576,NC_exaltata1,NC_exaltata1
178,0.283646456,0.716353544,NC_exaltata3,NC_exaltata3
179,0.740624816,0.259375184,NC_exaltata5,NC_exaltata5
180,0.852129159,0.147870841,NC_exaltata7,NC_exaltata7
181,0.661691575,0.338308425,NC_exaltata9,NC_exaltata9
182,0.839995728,0.160004272,NC_exaltata13,NC_exaltata13
183,0.999997786,2.21e-06,NC_exaltata15,NC_exaltata15
184,0.871025458,0.128974542,NC_exaltata17,NC_exaltata17
185,0.144082212,0.855917788,ARROW2_S47,ARROW2_S47
186,0.256239285,0.743760715,NC_exaltata25,NC_exaltata25
187,0.77120538,0.22879462,NC_exaltata29,NC_exaltata29
188,0.625379409,0.374620591,NC_exaltata31,NC_exaltata31
189,0.710432592,0.289567408,NC_exaltata33,NC_exaltata33
190,0.843065258,0.156934742,NC_exaltata35,NC_exaltata35
191,0.999999961,3.87e-08,NC_exaltata37,NC_exaltata37
192,0.999848536,0.000151464,NC_exaltata39,NC_exaltata39
193,0.999991217,8.78e-06,NC_exaltata41,NC_exaltata41
194,0.109715315,0.890284685,BLRI1_S54,BLRI1_S54
195,0.105607501,0.894392499,BLUE1_S66,BLUE1_S66
196,0.174658925,0.825341075,BRUNS2_S61,BRUNS2_S61
197,0.58707644,0.41292356,NC_exaltata49,NC_exaltata49
198,0.204826313,0.795173687,NC_exaltata51,NC_exaltata51
199,0.999995455,4.55e-06,NC_exaltata53,NC_exaltata53
200,0.614860063,0.385139937,NC_exaltata55,NC_exaltata55
201,0.594461687,0.405538313,NC_exaltata57,NC_exaltata57
202,0.654431771,0.345568229,NC_exaltata59,NC_exaltata59
203,0.999629377,0.000370623,NC_exaltata61,NC_exaltata61
204,0.905513233,0.094486767,NC_exaltata63,NC_exaltata63
205,0.878419007,0.121580993,NC_exaltata65,NC_exaltata65
206,0.100044736,0.899955264,CROIX2_S67,CROIX2_S67
207,0.242003551,0.757996449,NC_exaltata73,NC_exaltata73
208,0.318819015,0.681180985,NC_exaltata75,NC_exaltata75
209,0.888656751,0.111343249,NC_exaltata77,NC_exaltata77
210,0.723182101,0.276817899,NC_exaltata79,NC_exaltata79
211,0.56926361,0.43073639,NC_exaltata81,NC_exaltata81
212,0.995308444,0.004691556,NC_exaltata83,NC_exaltata83
213,0.999998062,1.94e-06,NC_exaltata85,NC_exaltata85
214,0.819354587,0.180645413,NC_exaltata87,NC_exaltata87
215,0.861860195,0.138139805,NC_exaltata89,NC_exaltata89
216,0.181366322,0.818633678,DENI2_S48,DENI2_S48
217,0.135387876,0.864612124,DEWA1_S36,DEWA1_S36
218,0.169041647,0.830958353,NC_exaltata97,NC_exaltata97
219,0.886506569,0.113493431,NC_exaltata99,NC_exaltata99
220,0.818227999,0.181772001,NC_exaltata101,NC_exaltata101
221,0.90995474,0.09004526,NC_exaltata103,NC_exaltata103
222,0.851650343,0.148349657,NC_exaltata105,NC_exaltata105
223,0.873884543,0.126115457,NC_exaltata107,NC_exaltata107
224,0.075135695,0.924864305,ELRO1_S42,ELRO1_S42
225,0.036869674,0.963130326,EMO1_S51,EMO1_S51
226,0.160466704,0.839533296,NC_exaltata121,NC_exaltata121
227,0.753101099,0.246898901,NC_exaltata123,NC_exaltata123
228,0.637414834,0.362585166,NC_exaltata125,NC_exaltata125
229,0.81201297,0.18798703,NC_exaltata127,NC_exaltata127
230,0.835692884,0.164307116,NC_exaltata129,NC_exaltata129
231,0.999999719,2.81e-07,NC_exaltata133,NC_exaltata133
232,1.0,1.23e-11,NC_exaltata135,NC_exaltata135
233,0.707671274,0.292328726,NC_exaltata137,NC_exaltata137
234,0.056365708,0.943634292,FN1_S55,FN1_S55
235,0.747258051,0.252741949,FOLA2_S38,FOLA2_S38
236,0.219966033,0.780033967,NC_exaltata145,NC_exaltata145
237,0.329664033,0.670335967,NC_exaltata147,NC_exaltata147
238,0.859434431,0.140565569,NC_exaltata149,NC_exaltata149
239,0.898779456,0.101220544,NC_exaltata153,NC_exaltata153
240,0.99986633,0.00013367,NC_exaltata157,NC_exaltata157
241,0.996103237,0.003896763,NC_exaltata159,NC_exaltata159
242,0.034028953,0.965971047,GADS2_S40,GADS2_S40
243,0.096819972,0.903180028,GALES2_S49,GALES2_S49
244,0.111495735,0.888504265,GWC2_S18,GWC2_S18
245,0.192766627,0.807233373,NC_exaltata169,NC_exaltata169
246,0.690378438,0.309621562,NC_exaltata171,NC_exaltata171
247,0.627289197,0.372710803,NC_exaltata173,NC_exaltata173
248,0.583071685,0.416928315,NC_exaltata175,NC_exaltata175
249,0.739663348,0.260336652,NC_exaltata177,NC_exaltata177
250,0.783574415,0.216425585,NC_exaltata179,NC_exaltata179
251,0.926063629,0.073936371,NC_exaltata181,NC_exaltata181
252,0.999999615,3.85e-07,NC_exaltata183,NC_exaltata183
253,0.203098347,0.796901653,HOPE1_S39,HOPE1_S39
254,0.14972042,0.85027958,IDNL1_S21,IDNL1_S21
255,0.24030647,0.75969353,KEMP1_S28,KEMP1_S28
256,0.162881389,0.837118611,KENS2_S46,KENS2_S46
257,0.128549703,0.871450297,KONZA1_S56,KONZA1_S56
258,0.190898139,0.809101861,KRUM1_S53,KRUM1_S53
