Species,Site,Organic_Matter,pH,Phosphorus,Potassium,Calcium,Magnesium,Sulfur,Sodium,Zinc,Manganese,Iron,Copper,Boron
syriaca,FRW,9,6.4,24,191,2077,112,8,16,3.9,41,113,2.2,0.7
syriaca,FRW,9.9,7,32,120,2609,121,8,15,5.8,51,112,2.9,0.9
syriaca,FRW,11.9,6.6,25,137,2098,130,7,20,4.7,49,94,1.8,0.9
syriaca,FRW,8.6,6.7,48,285,2458,133,8,20,5.4,48,101,2.7,1
syriaca,FRW,7.9,6.8,31,192,2507,128,7,17,5.6,46,104,3.3,0.9
syriaca,FRW,12.2,6.6,30,272,2717,179,8,20,5.4,65,101,2.3,1.2
syriaca,FRW,10.1,6.5,42,319,2308,145,9,19,4.9,48,107,2.5,0.9
syriaca,FRW,11.8,5.9,47,243,1773,143,11,18,5.2,36,125,2.2,0.6
syriaca,FRW,13.2,6.3,34,276,2159,171,9,19,5.7,40,119,2.6,0.7
syriaca,FRW,12.3,6.2,39,162,2596,175,6,19,5.7,61,106,2.8,0.9
syriaca,FRW,12.2,6.7,39,136,2996,151,10,22,7.3,74,121,6,1
syriaca,FRW,10.9,6.9,45,123,2971,149,10,20,6.9,61,110,11.3,1.1
syriaca,FRW,13.9,5.9,31,182,1981,165,9,17,5.6,43,116,3,0.7
syriaca,MMP,29.1,5.1,53,99,1205,145,20,16,11.1,30,73,0.5,0.3
syriaca,MMP,32,5.9,72,232,1714,311,20,16,11.8,54,58,0.6,0.6
syriaca,MMP,43.6,6,103,165,2932,361,20,14,18.2,57,59,0.8,0.8
syriaca,MMP,30.3,4.9,80,138,1856,237,20,15,11.1,42,72,0.5,0.5
syriaca,MMP,24.8,5.7,95,182,1529,179,25,14,13.9,84,70,0.5,0.4
syriaca,MMP,37.9,5.8,97,128,2190,260,24,16,17.9,44,69,0.6,0.6
syriaca,MMP,29,5,38,94,1013,116,21,17,10.2,20,68,0.4,0.3
syriaca,MMP,35.2,6.1,110,140,2004,272,21,17,13.6,60,71,0.6,0.7
syriaca,MMP,28.5,5.8,50,136,2071,249,18,15,9.3,35,54,0.6,0.5
syriaca,MMP,33.5,5.4,78,108,1433,189,21,15,11.3,34,64,0.5,0.4
syriaca,MMP,30.5,5.6,69,138,2009,244,21,15,11.8,43,56,0.5,0.5
