,samples,paired_end,Archaea|Candidatus Bathyarchaeota,Archaea|Candidatus Woesearchaeota,Archaea|Crenarchaeota,Archaea|Euryarchaeota,Archaea|Thaumarchaeota,Bacteria|Acidobacteria,Bacteria|Actinobacteria,Bacteria|Aquificae,Bacteria|Armatimonadetes,Bacteria|Bacteroidetes,Bacteria|Balneolaeota,Bacteria|Caldiserica,Bacteria|Calditrichaeota,Bacteria|Candidatus Adlerbacteria,Bacteria|Candidatus Aminicenantes,Bacteria|Candidatus Andersenbacteria,Bacteria|Candidatus Atribacteria,Bacteria|Candidatus Azambacteria,Bacteria|Candidatus Beckwithbacteria,Bacteria|Candidatus Berkelbacteria,Bacteria|Candidatus Bipolaricaulota,Bacteria|Candidatus Campbellbacteria,Bacteria|Candidatus Chisholmbacteria,Bacteria|Candidatus Cloacimonetes,Bacteria|Candidatus Collierbacteria,Bacteria|Candidatus Doudnabacteria,Bacteria|Candidatus Eisenbacteria,Bacteria|Candidatus Falkowbacteria,Bacteria|Candidatus Fermentibacteria,Bacteria|Candidatus Gottesmanbacteria,Bacteria|Candidatus Gracilibacteria,Bacteria|Candidatus Jacksonbacteria,Bacteria|Candidatus Jorgensenbacteria,Bacteria|Candidatus Kaiserbacteria,Bacteria|Candidatus Kapabacteria,Bacteria|Candidatus Kerfeldbacteria,Bacteria|Candidatus Latescibacteria,Bacteria|Candidatus Levybacteria,Bacteria|Candidatus Liptonbacteria,Bacteria|Candidatus Magasanikbacteria,Bacteria|Candidatus Marinimicrobia,Bacteria|Candidatus Melainabacteria,Bacteria|Candidatus Microgenomates,Bacteria|Candidatus Moranbacteria,Bacteria|Candidatus Niyogibacteria,Bacteria|Candidatus Nomurabacteria,Bacteria|Candidatus Omnitrophica,Bacteria|Candidatus Pacebacteria,Bacteria|Candidatus Parcubacteria,Bacteria|Candidatus Peregrinibacteria,Bacteria|Candidatus Poribacteria,Bacteria|Candidatus Roizmanbacteria,Bacteria|Candidatus Rokubacteria,Bacteria|Candidatus Saccharibacteria,Bacteria|Candidatus Schekmanbacteria,Bacteria|Candidatus Staskawiczbacteria,Bacteria|Candidatus Sumerlaeota,Bacteria|Candidatus Sungbacteria,Bacteria|Candidatus Taylorbacteria,Bacteria|Candidatus Uhrbacteria,Bacteria|Candidatus Vogelbacteria,Bacteria|Candidatus Wildermuthbacteria,Bacteria|Candidatus Wolfebacteria,Bacteria|Candidatus Yanofskybacteria,Bacteria|Candidatus Yonathbacteria,Bacteria|Candidatus Zambryskibacteria,Bacteria|Chlamydiae,Bacteria|Chlorobi,Bacteria|Chloroflexi,Bacteria|Chrysiogenetes,Bacteria|Coprothermobacterota,Bacteria|Cyanobacteria,Bacteria|Deferribacteres,Bacteria|Deinococcus-Thermus,Bacteria|Dictyoglomi,Bacteria|Elusimicrobia,Bacteria|Fibrobacteres,Bacteria|Firmicutes,Bacteria|Fusobacteria,Bacteria|Gemmatimonadetes,Bacteria|Ignavibacteriae,Bacteria|Kiritimatiellaeota,Bacteria|Lentisphaerae,Bacteria|Nitrospinae,Bacteria|Nitrospirae,Bacteria|Planctomycetes,Bacteria|Proteobacteria,Bacteria|Rhodothermaeota,Bacteria|Spirochaetes,Bacteria|Synergistetes,Bacteria|Tenericutes,Bacteria|Thermodesulfobacteria,Bacteria|Thermotogae,Bacteria|Verrucomicrobia,Bacteria|candidate division AD3,Bacteria|candidate division CPR2,Bacteria|candidate division NC10,Bacteria|candidate division WPS-2,Bacteria|candidate division WWE3,Bacteria|candidate division Zixibacteria,Eukaryota|Apicomplexa,Eukaryota|Ascomycota,Eukaryota|Basidiomycota,Eukaryota|Chlorophyta,Eukaryota|Mucoromycota
34,F05,R1,0.00026,0,0,0.05001,0.02042,0.19606,1.83793,0,0,0.08115,0,0,0,0,0.00013,0,0,0,0,0,0,0,0,0,0,0,0.00018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00417,0.02153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00285,0,0,0.00035,0,0,0,0,0,0.01986,0,0.04591,0,0,0,0,0.02304,0.00587,11.13739,0,0.00019,0.00806,0,0,0,0.02858,0,0,0.00011,0.00079,0,0,0,0.00378,0.00029,0,0.00012
35,F07,R2,0,0,0.00602,0.04441,0.08623,0.22789,3.17853,0.00147,0.00118,0.54625,0,0,0.00111,0.0005,0.00072,0,0.00137,0,0,0,0.00285,0,0,0,0,0,0.00039,0.00032,0,0,0,0.00048,0,0.00019,0,0,0,0.00016,0,0,0.0002,0,0,0.0002,0,0.00032,0.00038,0,0.0024,0.00012,0,0,0.00552,0.03041,0,0,0.00324,0,0,0.0005,0,0,0,0,0,0,0.00379,0.01689,0.03028,0.00295,0,0.02766,0.00103,0.03102,0,0.00029,0,0.15243,0,0.04376,0.00216,0.00201,0.00124,0.00251,0.02683,0.02502,13.32349,0.00105,0.00207,0.01024,0.02278,0,0,0.10776,0,0,0.00674,0,0,0,0,0.00201,0.0011,0.00044,0
36,F09,R1,0,0,0,0.03611,0.04812,0.06918,1.37282,0,0.01199,1.07143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01526,0.00421,0.00153,0,0.0003,0,0.01373,0,0,0,0.01228,0,0.00949,0,0,0,0,0.00259,0.01093,19.23768,0,0,0,0.05941,0,0.00443,0.12399,0,0,0.00108,0,0,0,0,0.0004,0.00022,0,0
37,F11,R2,0,0,0,0.05448,0.00152,0.20224,4.7187,0,0.00461,0.51306,0,0,0,0.00161,0.00043,0,0.00013,0,0,0,0,0,0,0,0,0,0.00025,0,0,0,0,0.00031,0,0.00011,0,0,0,0,0,0,0,0,0.00011,0,0,0.00023,0,0,0.00308,0,0,0,0.00083,0.00923,0,0,0.005,0,0,0.0007,0,0.00012,0,0,0,0,0.00527,0.0067,0.01821,0,0,0.01405,0,0.02732,0.00256,0,0,0.1218,0,0.03826,0,0,0,0.00252,0.02487,0.02568,12.48899,0.00127,0.00038,0.00229,0.00092,0,0.00285,0.1654,0.00086,0,0.00045,0,0,0,0.00026,0.00648,0.00131,0.00074,0.00018
38,G01,R1,0,0,0,0.03255,0.0041,0.38183,8.7871,0,0.00576,0.37005,0,0,0,0.00103,0.00025,0,0.00051,0,0,0,0,0,0,0,0,0,0.0001,0.00013,0,0,0,0.00047,0,0.00037,0,0,0,0,0.0001,0,0,0,0,0,0,0.00067,0.00039,0,0.00319,0,0,0,0.00144,0.03111,0.00012,0,0.00339,0,0,0,0,0,0,0.00017,0,0.00092,0.01237,0.02341,0.02542,0.00549,0.00059,0.02532,0,0.02505,0.00259,0.00816,0,0.21174,0,0.0348,0.00526,0.00351,0.00179,0.00128,0.0301,0.03223,13.87787,0.00084,0.003,0.00762,0.00437,0.00272,0.00399,0.16545,0,0,0.0007,0.00012,0,0,0.00033,0.00523,0.00214,0.00077,0.00017
39,G03,R2,0,0,0,0.02492,0.01851,0.1713,11.76619,0,0,0.10851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00088,0.04778,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0005,0.00347,0.00167,0,0.0047,0,0.00107,0,0,0,0.11374,0,0.01239,0,0,0,0,0.01303,0.02495,14.13328,0.00187,0,0.00022,0,0,0,0.14273,0,0,0.00019,0,0,0,0,0.0012,0.0006,0,0
40,G05,R1,0,0,0,0.02502,0.00475,0.26381,3.5593,0.00031,0.00408,0.63622,0,0,0,0.00157,0.00033,0,0.00014,0,0,0,0.0016,0,0,0,0,0.00014,0.00024,0,0.00011,0,0,0.00086,0,0.00015,0,0,0,0.0002,0.0005,0,0,0,0,0.00014,0,0.00306,0.00036,0,0.00494,0.0053,0,0,0.00367,0.04661,0,0.00023,0.00313,0.00011,0,0,0,0,0.0002,0.0001,0.00017,0,0.00807,0.02297,0.03152,0.00216,0,0.02999,0.00191,0.03893,0.00149,0.00133,0,0.13509,0,0.05665,0.00349,0.00307,0.00237,0.00066,0.03928,0.02134,18.22923,0.00084,0.00514,0.00855,0.00113,0.00311,0.00173,0.14285,0,0,0.00055,0,0,0.00225,0.00012,0.03163,0.00065,0.00055,0
41,G07,R2,0.00013,0,0,0.03626,0.07884,0.17895,3.27587,0,0.00041,0.53086,0,0,0.00135,0,0,0.00014,0,0,0,0,0,0,0,0,0,0,0.00034,0.00013,0,0,0,0.00048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00691,0,0,0,0.00436,0.02739,0,0,0.00014,0,0,0,0,0,0,0,0,0,0.00488,0.02617,0.01242,0.00024,0,0.02027,0.00012,0.01761,0,0,0,0.08213,0,0.07137,0,0.00169,0,0.00132,0.02066,0.01725,16.12486,0.00083,0.00018,0,0,0,0.00321,0.10043,0,0,0.00407,0,0,0,0,0.00066,0.00101,0.00062,0
42,G09,R1,0,0,0,0.05649,0.00322,0.20658,4.47327,0,0.00375,0.51793,0,0,0,0.00121,0.0005,0,0.00054,0,0,0,0,0,0,0.00056,0,0.00096,0.00015,0,0,0,0,0.00016,0,0.00033,0,0,0.00034,0.0001,0.00026,0,0,0.00011,0,0,0,0.00204,0.0003,0,0.00647,0.00532,0,0,0.00119,0.07989,0,0,0.00302,0,0,0.00031,0,0,0,0.00014,0,0.00231,0.00361,0.02125,0.01601,0.00111,0,0.02661,0,0.03669,0,0.0028,0,0.19077,0,0.05155,0.00349,0.00268,0.00174,0.00146,0.0312,0.0224,12.51887,0.0008,0.00322,0.00666,0.00011,0,0.00634,0.13457,0.00031,0,0.00034,0,0.00055,0.0016,0.0002,0.00546,0.00145,0.00069,0.00011
43,G11,R2,0,0,0,0.02869,0,0.16161,2.13689,0,0.0022,2.0933,0,0,0,0,0,0,0.00033,0,0,0,0,0,0,0,0,0,0.00012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00026,0,0,0.00027,0,0,0,0,0,0,0,0.00103,0.03489,0,0,0.00472,0,0,0,0,0,0,0,0,0,0,0.00312,0.00293,0,0,0.00175,0,0.01269,0,0,0,0.02842,0,0.01894,0,0,0,0,0.00046,0.00834,22.58391,0,0,0,0.00016,0,0.00358,0.09276,0,0,0,0,0,0,0,0.00432,0.00069,0.00015,0.00019
44,H01,R1,0,0,0,0.04557,0.00393,0.19647,7.62594,0,0.00407,0.38814,0,0,0.00038,0.00054,0.00026,0,0.00132,0,0,0.00126,0,0,0,0,0,0.00038,0.00016,0,0,0,0,0.00018,0,0.00385,0,0,0,0.00012,0,0,0.00023,0,0.00013,0,0,0.00051,0.00031,0,0.00457,0.00492,0,0,0.00201,0.02701,0,0.00019,0.0049,0,0,0,0,0,0,0,0,0.00024,0.00897,0.02164,0.02647,0.00334,0,0.02684,0.00019,0.03815,0,0.00039,0,0.20198,0,0.02993,0.00012,0.00252,0.002,0.0008,0.01804,0.03849,11.5057,0.00086,0.00283,0.00871,0.01279,0,0.00574,0.14245,0.00092,0.00023,0.00466,0,0.00048,0,0.00033,0.00532,0.002,0.00059,0.0002
45,H03,R2,0,0,0,0.0179,0.00409,0.15251,3.90713,0.00038,0.00222,1.79802,0.00015,0,0.00044,0.00088,0.00033,0,0.0003,0,0,0,0.00104,0,0,0.00048,0,0.00054,0.00026,0,0,0.00011,0,0.00056,0,0.00109,0,0,0,0,0.00014,0.00019,0,0,0,0,0,0.00023,0.00026,0,0.00403,0.00158,0.00018,0,0.00103,0.03942,0,0,0.00267,0,0,0.00031,0.00017,0,0.00014,0,0,0.00015,0.01017,0.02325,0.0145,0.00362,0,0.02592,0.00079,0.03055,0,0.0036,0.00018,0.23631,0,0.04623,0.00234,0.00201,0.00103,0.00094,0.01791,0.0146,21.87616,0.00074,0.00288,0.00557,0.00434,0,0.00105,0.11738,0,0,0.00034,0,0.00019,0.00076,0.00014,0.18733,0.00145,0.00049,0.00019
46,H05,R1,0,0,0,0.04776,0,0.0417,1.24154,0,0,0.13237,0,0,0,0.02981,0,0,0,0,0,0,0,0,0,0,0,0.00104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00271,0,0,0.00075,0.03878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00159,0.00173,0,0,0,0.01703,0,0,0,0.07611,0,0.01017,0,0,0,0,0.03915,0.00046,10.49362,0.00098,0,0.00068,0,0,0,0.06958,0,0,0,0,0,0,0,0.00372,0.00054,0,0.00051
47,H07,R2,0,0,0,0.04157,0.02276,0.14885,2.0886,0,0,0.50368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00023,0,0,0,0,0.00082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00513,0.01482,0.0002,0,0.00027,0,0.00181,0,0,0,0.02888,0,0.07627,0.00175,0,0,0,0.00179,0.01903,16.46174,0.00066,0,0,0,0,0.00394,0.07702,0,0,0.00035,0,0,0,0,0.00042,0,0,0.00014
48,H09,R1,0,0,0.00032,0.03364,0.00123,0.34755,4.16437,0,0.00306,0.90218,0,0,0.00096,0,0.00025,0,0,0,0,0,0.0025,0,0,0,0,0,0,0,0,0,0,0.00057,0,0.00039,0,0,0,0,0,0,0,0,0,0,0,0,0.00014,0,0.00716,0,0,0,0.00162,0.06453,0,0,0.00284,0,0.00033,0.00013,0,0,0,0,0,0.0021,0.00186,0.02141,0.01863,0,0,0.01973,0.0024,0.02324,0,0.00065,0,0.0744,0,0.03602,0,0.00317,0.00162,0.00082,0.01394,0.02671,16.34161,0.00074,0.00135,0.00333,0.00037,0,0,0.19134,0.00169,0,0.00033,0,0.00031,0,0.00036,0.00783,0.00178,0.00063,0.00017
49,H11,R2,0,0,0,0.02897,0.0015,0.23929,1.5147,0,0,0.66994,0,0,0.00217,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00016,0,0,0,0,0.00069,0,0,0,0,0,0,0,0,0.00011,0,0,0,0,0,0,0,0,0,0,0,0.00062,0.02699,0,0,0,0,0,0,0.00029,0,0,0,0,0.00034,0,0,0.00307,0,0,0.00072,0,0.00532,0,0,0,0.02406,0,0.02656,0,0.00406,0,0,0.02651,0.01956,19.07379,0.00106,0,0,0,0,0.00424,0.09075,0.00012,0,0.00861,0.00016,0,0,0,0.00102,0.00031,0.0002,0
