,samples,paired_end,Archaea|Euryarchaeota,Archaea|Thaumarchaeota,Bacteria|Acidobacteria,Bacteria|Actinobacteria,Bacteria|Aquificae,Bacteria|Armatimonadetes,Bacteria|Bacteroidetes,Bacteria|Balneolaeota,Bacteria|Calditrichaeota,Bacteria|Candidatus Aminicenantes,Bacteria|Candidatus Atribacteria,Bacteria|Candidatus Curtissbacteria,Bacteria|Candidatus Dadabacteria,Bacteria|Candidatus Eisenbacteria,Bacteria|Candidatus Falkowbacteria,Bacteria|Candidatus Fermentibacteria,Bacteria|Candidatus Gracilibacteria,Bacteria|Candidatus Kaiserbacteria,Bacteria|Candidatus Marinimicrobia,Bacteria|Candidatus Melainabacteria,Bacteria|Candidatus Microgenomates,Bacteria|Candidatus Nomurabacteria,Bacteria|Candidatus Omnitrophica,Bacteria|Candidatus Peregrinibacteria,Bacteria|Candidatus Poribacteria,Bacteria|Candidatus Portnoybacteria,Bacteria|Candidatus Rokubacteria,Bacteria|Candidatus Saccharibacteria,Bacteria|Candidatus Staskawiczbacteria,Bacteria|Candidatus Taylorbacteria,Bacteria|Candidatus Tectomicrobia,Bacteria|Candidatus Terrybacteria,Bacteria|Candidatus Woesebacteria,Bacteria|Chlamydiae,Bacteria|Chlorobi,Bacteria|Chloroflexi,Bacteria|Chrysiogenetes,Bacteria|Cyanobacteria,Bacteria|Deinococcus-Thermus,Bacteria|Elusimicrobia,Bacteria|Firmicutes,Bacteria|Fusobacteria,Bacteria|Gemmatimonadetes,Bacteria|Ignavibacteriae,Bacteria|Nitrospinae,Bacteria|Nitrospirae,Bacteria|Planctomycetes,Bacteria|Proteobacteria,Bacteria|Rhodothermaeota,Bacteria|Spirochaetes,Bacteria|Synergistetes,Bacteria|Tenericutes,Bacteria|Thermodesulfobacteria,Bacteria|Thermotogae,Bacteria|Verrucomicrobia,Bacteria|candidate division AD3,Bacteria|candidate division NC10,Bacteria|candidate division WWE3,Bacteria|candidate division Zixibacteria,Eukaryota|Apicomplexa,Eukaryota|Ascomycota,Eukaryota|Bacillariophyta,Eukaryota|Basidiomycota,Eukaryota|Blastocladiomycota,Eukaryota|Chlorophyta,Eukaryota|Cryptomycota,Eukaryota|Microsporidia,Eukaryota|Mucoromycota,Eukaryota|Streptophyta,Eukaryota|Zoopagomycota
31,E11,R2,0.16276,0,0.09896,8.28053,0,0,0.08176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00014,0,0,0,0,0,0,0,0,0.00389,0,0.00078,0,0,0.02727,0,0.04641,0,0,0,0.0011,6.94566,0,0.01472,0,0,0,0,0.01259,0,0,0,0,0,0.00086,0,0.00118,0,0.00263,0,0,0,0,0
32,F01,R1,0.13337,0,0.10002,4.03556,0.27283,0,0.69729,0,0,0,0.00874,0,0,0,0,0,0,0,0,0.02305,0,0,0,0,0.00483,0,0,0,0.00014,0,0,0,0,0,0.00032,0.02261,0,25.51977,0.0878,0,2.01349,0.00407,0,0.00021,0,0.0071,0.00068,3.8302,0,0.24182,0.04817,0.56309,0,0.01746,0.00131,0,0.00049,0,0.00861,0.01363,0.12209,0.00021,0.00686,0,0.04364,0.00043,0.00076,0.00451,0,0
33,F03,R2,0.0794,0,0.05192,1.77097,0.18127,0.00013,0.18961,0,0,0,0.00312,0,0.00149,0,0,0,0,0,0,0.00088,0,0,0,0,0.00272,0,0,0,0,0,0,0,0,0,0,0.00071,0,23.94866,0.07788,0,2.30349,0.00317,0,0,0,0.00124,0.00062,4.07712,0,0.02897,0.01511,0.74055,0.05108,0.01924,0,0,0.00032,0,0,0.0289,0.1095,0.00055,0.05576,0,0.0219,0.00034,0.00184,0.00287,0,0.0002
34,F05,R1,0.10387,0,0.11189,2.80273,0.19347,0,0.26309,0,0,0,0.0032,0,0,0,0.00079,0,0,0,0.00014,0.00297,0,0.00093,0,0.13279,0.00336,0,0,0,0.00013,0,0,0,0,0,0,0.02672,0,20.18381,0.10196,0,5.37177,0.00393,0,0.00034,0,0.0038,0.00118,4.85269,0,0.04706,0.04311,0.32636,0.00011,0.01884,0.00294,0,0.00029,0,0,0.13299,0.35889,0.00055,0.06798,0,0.02088,0.00039,0.00048,0.00523,0,0.00035
35,F07,R2,0.16256,0,0.10643,2.48221,0.10104,0,0.24943,0.00692,0,0,0.0025,0,0,0,0,0,0,0,0,0.00222,0,0.0006,0,0.15145,0.00139,0,0,0,0,0.00026,0.00011,0,0,0,0,0.00157,0,11.85278,0.06216,0,1.7399,0.00485,0,0,0,0.00259,0.00052,2.44543,0,0.01853,0.02414,0.19465,0.00014,0.04191,0.00015,0,0.00019,0,0,0.01776,0.13819,0.00214,0.02111,0,0.01486,0.00018,0.00134,0.00523,0,0.00074
36,F09,R1,0.10445,0,0.07495,2.82083,0,0,0.18762,0,0,0,0.00461,0,0,0,0,0,0,0,0,0.00046,0,0,0,0.16832,0.00153,0,0,0,0.00014,0,0,0.00012,0,0,0,0.01627,0,9.15825,0.02992,0,1.13945,0.00225,0,0,0,0,0.00101,4.16502,0,0.04242,0.02193,1.27785,0,0,0.00033,0,0.00015,0,0,0.00744,0.08091,0.00022,0.03725,0,0.01403,0.0003,0.00055,0.00204,0,0.00076
37,F11,R2,0.20453,0.03897,0.02972,8.36273,0,0,0.01019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01613,0.00246,0.00154,0,0.16034,0,0.02512,0,0,0,0.05726,6.26004,0,0,0.0016,0,0,0,0.00939,0,0,0,0,0,0.00115,0,0,0,0,0,0,0.00024,0,0
38,G01,R1,0.17461,0,0.12731,2.57382,0,0,0.50739,0,0,0,0,0,0,0,0,0,0,0,0,0.00069,0,0,0.00022,0,0.00252,0,0,0,0,0.00082,0,0,0,0,0.00013,0.00012,0.00055,13.35129,0.1014,0,3.49664,0.00262,0,0,0,0.00017,0.00056,4.71267,0,0.19729,0.07116,0.28362,0,0.03258,0,0,0,0,0,0.04397,0.22406,0.0008,0.03597,0,0.03027,0.00055,0.00175,0.00524,0,0.0007
39,G03,R2,0.10448,0,0.23489,3.87914,0.00579,0,0.40426,0,0,0.00056,0.00011,0,0,0,0,0,0,0,0,0.00519,0,0,0,0.26141,0.00328,0,0,0,0.0001,0,0,0,0,0,0,0.00784,0,15.02734,0.12636,0.00012,5.10801,0.00101,0.00011,0,0,0,0.00158,5.14238,0,0.16467,0.0492,0.80852,0.02537,0.03168,0,0,0.00021,0,0,0.02987,0.3445,0.00016,0.06383,0,0.04407,0.00063,0.00284,0.00678,0,0.00047
40,G05,R1,0.09966,0,0.02924,2.1467,0.19144,0,0.24032,0,0,0,0.00665,0,0,0,0,0,0,0,0,0.0054,0,0.00056,0,0,0.00342,0,0,0,0.00017,0,0,0.00022,0,0,0,0.00049,0,17.80466,0.05908,0,2.68385,0.00289,0,0,0,0.00182,0.00081,2.96665,0,0.06382,0.04156,0.03572,0.08033,0.01757,0,0,0.00098,0,0,0.09721,0.09618,0,0.06846,0,0.02452,0.00022,0.00073,0.00309,0,0
41,G07,R2,0.15557,0.00018,0.10442,3.07416,0.11223,0,0.25306,0,0,0,0,0,0,0,0,0,0,0,0,0.00414,0,0,0,0.0835,0.00136,0,0,0,0,0,0,0,0,0,0,0.0001,0,9.75882,0.06747,0,2.30244,0.00175,0,0,0,0.00154,0.00042,2.8405,0,0.03771,0.02545,0.52268,0.0166,0.04258,0.0002,0,0.00015,0,0,0.12068,0.11434,0,0.02997,0,0.01873,0.00025,0.00166,0.00472,0,0.00024
42,G09,R1,0.03846,0,0.01064,0.43811,0,0,0.01969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11737,0.00165,0,0.03214,0,0.00109,0,0,0.00099,0.00494,0.81706,0,0,0,0,0,0,0.00015,0,0,0,0,0,0.00096,0,0.00037,0,0.00342,0,0,0,0,0
43,G11,R2,0.09465,0.01499,0.06012,8.15216,0,0.00321,0.02161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00023,0.0002,0,0,0,0,0,0,0,0.00681,0,0.00048,0.0019,0.00035,0.01297,0,0.01328,0,0,0.00117,0.02165,6.44776,0.00125,0.00132,0.01371,0,0,0,0.07281,0.0002,0,0.0002,0,0,0.00045,0,0,0,0.00021,0,0,0,0,0
44,H01,R1,0.14239,0,0.14396,2.96103,0.19852,0,0.36931,0,0,0,0,0,0,0,0,0,0,0,0,0.00053,0,0.00048,0,0.0014,0.00243,0,0,0.00012,0.00014,0,0,0.00013,0,0,0,0.00023,0,16.98591,0.15059,0,3.17065,0.00251,0.00014,0,0,0.00164,0.00071,4.91405,0,0.05041,0.00228,0.65848,0,0.03728,0,0,0.00083,0,0,0.05963,0.15171,0.00119,0.11399,0,0.036,0.00049,0.00151,0.00596,0,0.00013
45,H03,R2,0.09426,0,0.16547,3.6204,0.21164,0,0.76757,0,0,0,0.00342,0,0,0,0,0,0,0,0,0.00495,0,0,0,0.24532,0.00347,0,0,0,0,0,0,0,0,0,0,0.0239,0,21.03128,0.13986,0,2.5017,0.00435,0.00082,0,0,0,0.00073,4.41661,0,0.08733,0.0145,0.64702,0.0539,0.02201,0,0,0.00049,0,0,0.03938,0.18882,0.00059,0.04641,0,0.02479,0.00026,0.00254,0.00454,0,0.0002
46,H05,R1,0.11291,0,0.30092,3.16288,0.15491,0.00016,0.89613,0,0,0,0.01507,0,0,0,0,0.00015,0,0,0,0.00068,0,0,0,0.22854,0.0023,0.01043,0,0,0,0,0,0.00043,0,0,0,0.00894,0,17.47606,0.13977,0,3.33947,0.00484,0.00035,0,0,0,0.00055,6.24174,0,0.1287,0.02577,0.56673,0.03325,0.01223,0.00015,0,0.00041,0,0,0.16421,0.2738,0.00089,0.05447,0,0.06501,0.00048,0.00317,0.00776,0,0.00118
47,H07,R2,0.14884,0,0.02859,3.60118,0.00108,0,0.26767,0,0,0,0,0,0,0,0,0,0,0,0,0.00586,0,0,0,0.13698,0.00133,0.00281,0,0,0,0,0,0.00016,0,0,0,0.00289,0,7.44098,0.03469,0,2.3255,0.0017,0,0,0,0,0.00025,3.0984,0,0.01307,0.03297,0.54402,0.02175,0,0,0,0.00059,0,0,0.01426,0.10449,0.00016,0.02363,0,0.02638,0.00018,0.00089,0.0027,0,0.00119
48,H09,R1,0.40375,0,0.06796,4.91745,0,0.00174,0.11585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0.13776,0,0,0.0887,0,0,0,0,0.01814,0.05576,12.35244,0,0,0,0,0,0,0.04038,0,0,0,0,0,0.00294,0,0,0,0,0,0,0.00013,0,0
49,H11,R2,0.10989,0.0376,0.07514,9.28965,0,0.00051,0.07482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00031,0,0,0,0,0,0,0,0,0.00193,0,0.00064,0,0,0.14261,0,0.00217,0,0,0.00036,0.00143,7.2735,0,0,0.00062,0,0,0,0.00954,0,0,0,0,0,0.00167,0,0,0,0,0,0,0,0,0
