,sample_id,site,Archaea|Candidatus Bathyarchaeota,Archaea|Candidatus Korarchaeota,Archaea|Candidatus Verstraetearchaeota,Archaea|Candidatus Woesearchaeota,Archaea|Crenarchaeota,Archaea|Euryarchaeota,Archaea|Thaumarchaeota,Bacteria|Abditibacteriota,Bacteria|Acidobacteria,Bacteria|Actinobacteria,Bacteria|Aquificae,Bacteria|Armatimonadetes,Bacteria|Bacteroidetes,Bacteria|Balneolaeota,Bacteria|Caldiserica,Bacteria|Calditrichaeota,Bacteria|Candidatus Adlerbacteria,Bacteria|Candidatus Amesbacteria,Bacteria|Candidatus Aminicenantes,Bacteria|Candidatus Andersenbacteria,Bacteria|Candidatus Atribacteria,Bacteria|Candidatus Azambacteria,Bacteria|Candidatus Beckwithbacteria,Bacteria|Candidatus Berkelbacteria,Bacteria|Candidatus Bipolaricaulota,Bacteria|Candidatus Buchananbacteria,Bacteria|Candidatus Campbellbacteria,Bacteria|Candidatus Chisholmbacteria,Bacteria|Candidatus Cloacimonetes,Bacteria|Candidatus Collierbacteria,Bacteria|Candidatus Curtissbacteria,Bacteria|Candidatus Dadabacteria,Bacteria|Candidatus Doudnabacteria,Bacteria|Candidatus Edwardsbacteria,Bacteria|Candidatus Eisenbacteria,Bacteria|Candidatus Falkowbacteria,Bacteria|Candidatus Fermentibacteria,Bacteria|Candidatus Giovannonibacteria,Bacteria|Candidatus Gottesmanbacteria,Bacteria|Candidatus Gracilibacteria,Bacteria|Candidatus Harrisonbacteria,Bacteria|Candidatus Jacksonbacteria,Bacteria|Candidatus Jorgensenbacteria,Bacteria|Candidatus Kaiserbacteria,Bacteria|Candidatus Kapabacteria,Bacteria|Candidatus Kerfeldbacteria,Bacteria|Candidatus Kryptonia,Bacteria|Candidatus Latescibacteria,Bacteria|Candidatus Levybacteria,Bacteria|Candidatus Liptonbacteria,Bacteria|Candidatus Magasanikbacteria,Bacteria|Candidatus Marinimicrobia,Bacteria|Candidatus Melainabacteria,Bacteria|Candidatus Microgenomates,Bacteria|Candidatus Moranbacteria,Bacteria|Candidatus Niyogibacteria,Bacteria|Candidatus Nomurabacteria,Bacteria|Candidatus Omnitrophica,Bacteria|Candidatus Pacebacteria,Bacteria|Candidatus Parcubacteria,Bacteria|Candidatus Peregrinibacteria,Bacteria|Candidatus Poribacteria,Bacteria|Candidatus Portnoybacteria,Bacteria|Candidatus Roizmanbacteria,Bacteria|Candidatus Rokubacteria,Bacteria|Candidatus Ryanbacteria,Bacteria|Candidatus Saccharibacteria,Bacteria|Candidatus Schekmanbacteria,Bacteria|Candidatus Staskawiczbacteria,Bacteria|Candidatus Sumerlaeota,Bacteria|Candidatus Sungbacteria,Bacteria|Candidatus Taylorbacteria,Bacteria|Candidatus Tectomicrobia,Bacteria|Candidatus Terrybacteria,Bacteria|Candidatus Uhrbacteria,Bacteria|Candidatus Vogelbacteria,Bacteria|Candidatus Wildermuthbacteria,Bacteria|Candidatus Woesebacteria,Bacteria|Candidatus Wolfebacteria,Bacteria|Candidatus Yanofskybacteria,Bacteria|Candidatus Yonathbacteria,Bacteria|Candidatus Zambryskibacteria,Bacteria|Chlamydiae,Bacteria|Chlorobi,Bacteria|Chloroflexi,Bacteria|Chrysiogenetes,Bacteria|Coprothermobacterota,Bacteria|Cyanobacteria,Bacteria|Deferribacteres,Bacteria|Deinococcus-Thermus,Bacteria|Dictyoglomi,Bacteria|Elusimicrobia,Bacteria|Fibrobacteres,Bacteria|Firmicutes,Bacteria|Fusobacteria,Bacteria|Gemmatimonadetes,Bacteria|Ignavibacteriae,Bacteria|Kiritimatiellaeota,Bacteria|Lentisphaerae,Bacteria|Nitrospinae,Bacteria|Nitrospirae,Bacteria|Planctomycetes,Bacteria|Proteobacteria,Bacteria|Rhodothermaeota,Bacteria|Spirochaetes,Bacteria|Synergistetes,Bacteria|Tenericutes,Bacteria|Thermodesulfobacteria,Bacteria|Thermotogae,Bacteria|Verrucomicrobia,Bacteria|candidate division AD3,Bacteria|candidate division CPR2,Bacteria|candidate division CPR3,Bacteria|candidate division NC10,Bacteria|candidate division WPS-2,Bacteria|candidate division WWE3,Bacteria|candidate division Zixibacteria,Eukaryota|Apicomplexa,Eukaryota|Ascomycota,Eukaryota|Bacillariophyta,Eukaryota|Basidiomycota,Eukaryota|Blastocladiomycota,Eukaryota|Chlorophyta,Eukaryota|Chytridiomycota,Eukaryota|Cryptomycota,Eukaryota|Microsporidia,Eukaryota|Mucoromycota,Eukaryota|Streptophyta,Eukaryota|Zoopagomycota
216,CMB9,CMB,0,0,0,0,0,0.00039,0.00954,0,0.15457,3.65689,0,0.00224,0.25622,0,0,0,0.001,0,0,0,0,0,0,0,0.00221,0,0,0,0,0,0,0,0.00014,0,0.00011,0,0,0,0,0,0,0.0002,0,0.00014,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00014,0,0.00483,0,0,0,0,0.00143,0,0.00678,0,0,0.00165,0,0,0,0,0,0,0,0,0.00046,0,0,0,0.00702,0.00929,0.01196,0,0,0.01463,0,0.01896,0,0.00011,0,0.06798,0,0.03058,0,0.0033,0.00224,0.00106,0.03829,0.02722,9.18168,0.00033,0,0,0.00053,0,0,0.1332,0,0,0,0.00435,0,0,0,0.00074,0.00368,0,0.00044,0,0.00017,0,0,0,0,0,0
217,GH1,GH,0,0,0,0,0,0.007,0.00499,0,0.16631,3.93222,0,0.00333,0.34616,0,0,0,0.01091,0,0.00026,0,0.0005,0,0,0,0.00097,0,0.00014,0,0,0,0,0,0.00037,0,0.0002,0.00029,0,0,0,0,0,0.00021,0,0.00044,0,0,0,0,0.00015,0,0,0,0,0,0.0002,0,0.00435,0.00057,0,0.00504,0.00364,0,0,0,0.00282,0,0.00482,0,0,0.00264,0,0,0,0,0.00037,0,0,0,0,0,0,0.00031,0.00601,0.02627,0.02167,0.00202,0,0.04176,0.00063,0.03971,0,0.00262,0,0.13616,0,0.04133,0.00142,0.00338,0.00172,0.00081,0.0309,0.03053,10.93519,0.00102,0.00239,0.0061,0.00427,0.00067,0.00051,0.15161,0,0,0,0.00531,0,0.00024,0,0.00014,0.00365,0,0.00104,0,0.00043,0,0,0,0,0,0
218,GH2,GH,0,0,0,0,0,0.00163,0.00062,0,0.20025,5.87569,0.00048,0.00411,0.30209,0,0,0.00069,0.00098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00019,0,0.00036,0,0,0,0,0,0,0,0,0,0,0.00024,0,0.00017,0.00018,0,0.00634,0.00216,0,0,0,0.00038,0,0.00398,0,0.00012,0.00146,0,0,0,0,0.0002,0,0,0,0,0,0,0.00013,0.00671,0.01452,0.00939,0.00094,0,0.01465,0,0.02108,0,0.00081,0,0.05045,0,0.0142,0,0.00285,0.00154,0.00056,0.00733,0.02537,11.93036,0.00044,0.00025,0.00228,0.00158,0,0,0.1612,0,0,0,0.0022,0,0.00014,0,0.00016,0.00498,0,0.00136,0,0.00024,0,0,0,0,0,0
219,LFS10,LFS,0,0,0,0,0,0.00325,0.00365,0,0.18345,7.43798,0.00186,0.00296,0.3006,0,0,0.00019,0.00032,0,0.0002,0,0.0003,0,0,0,0.00064,0,0,0,0.00023,0,0,0,0.0001,0,0,0,0,0,0,0,0,0.00015,0,0.0003,0,0,0,0,0,0,0,0,0,0,0.00012,0,0.00011,0.00024,0,0.0015,0.00253,0,0,0,0.00077,0,0.02895,0,0.00014,0.00239,0,0,0,0,0.00038,0,0,0,0,0,0,0.00021,0.00425,0.01559,0.01657,0.00069,0,0.01928,0,0.02291,0.00061,0.0015,0,0.10416,0,0.02574,0.0007,0.0008,0.00096,0.00058,0.01854,0.01984,9.91049,0.00046,0.00221,0.00599,0.00661,0,0.00043,0.10743,0.00038,0,0,0.00159,0.0001,0.00026,0,0.00013,0.00243,0,0.00053,0,0.00032,0,0,0,0,0,0
220,LFS11,LFS,0,0,0,0,0,0.00104,0.0061,0,0.15655,7.61768,0,0.00182,0.29239,0,0,0,0,0,0.00015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00011,0,0.00016,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00012,0,0.00034,0,0,0,0,0.00073,0,0.02349,0,0,0.00086,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00744,0.00653,0,0,0.01302,0,0.02022,0,0,0,0.06692,0,0.02256,0.00109,0.00178,0.00111,0.00061,0.01022,0.01617,11.47847,0.00029,0,0.00192,0.00127,0,0,0.0714,0,0,0,0.00189,0,0,0,0,0.00166,0,0.00033,0,0.00013,0,0,0,0,0,0
221,LFS12,LFS,0,0,0,0,0,0.00339,0.00656,0,0.16879,4.38847,0,0.00217,0.31561,0,0,0.00062,0.00092,0,0.00039,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00035,0,0.00022,0,0,0,0,0,0,0,0,0.00054,0,0,0,0,0.00016,0,0,0,0,0.00016,0.00023,0,0.00121,0.00044,0,0.00656,0.00317,0,0,0,0.00485,0,0.03672,0,0,0.00278,0,0,0,0,0.00057,0,0,0,0,0,0,0,0.00913,0.02283,0.02842,0.00221,0,0.0256,0,0.03457,0,0.00228,0,0.09694,0,0.04703,0.00178,0.00221,0.00139,0.0012,0.0516,0.02023,12.87167,0.00063,0.00234,0.00122,0.00313,0.00052,0.0022,0.16756,0.00045,0,0,0.00064,0,0.00047,0,0,0.00211,0,0.00093,0,0.00038,0,0,0,0,0,0
222,LFS14,LFS,0,0,0,0,0,0.00286,0.00587,0,0.13762,4.52248,0,0.00217,1.28329,0,0,0,0.01311,0,0.00026,0,0.00043,0,0,0.00074,0,0,0.00038,0,0,0,0,0,0.0001,0,0.00011,0.0001,0,0,0,0,0,0,0,0,0,0,0,0.00026,0,0,0,0,0,0.00012,0,0,0.00118,0.00017,0,0.00543,0.00189,0,0,0,0.00252,0,0.06477,0,0,0.00166,0,0,0,0,0.00041,0.00021,0,0,0,0,0,0.00032,0.01147,0.01505,0.01256,0.00154,0,0.01865,0,0.02504,0,0.00104,0,0.11503,0,0.03976,0.00159,0.00161,0.0007,0.00049,0.03116,0.01474,18.37252,0.00061,0.00212,0.00259,0.00321,0.00139,0,0.12179,0,0,0,0.00208,0.00087,0.00019,0,0,0.09831,0,0.0017,0,0.00038,0,0,0,0.00013,0,0
223,LFS15,LFS,0,0,0,0,0.00033,0.00309,0.0093,0,0.13916,5.80834,0,0.00316,0.41962,0,0,0.00018,0,0,0.0002,0,0.00084,0,0,0,0.00076,0,0.0002,0,0,0,0,0,0.00012,0,0,0,0,0,0,0,0,0.00014,0,0.00024,0,0,0,0,0,0,0,0,0,0,0,0,0.0006,0.00025,0,0.00323,0.00103,0,0,0,0.0017,0,0.03491,0,0,0.00138,0,0,0,0,0,0,0,0,0.00012,0,0,0,0.0024,0.0117,0.01409,0.00128,0,0.02114,0,0.0207,0,0.00226,0,0.09024,0,0.02602,0.00108,0.00109,0.00098,0.00063,0.02367,0.01271,11.35663,0.00044,0.00253,0.00492,0.00269,0.00119,0,0.09558,0.00285,0,0,0.00279,0,0.0002,0.00086,0,0.00221,0,0.00045,0,0.00027,0,0,0,0,0,0
224,LFS1,LFS,0,0,0,0,0.00015,0.00199,0.01673,0,0.21548,7.96998,0,0.00635,0.20802,0,0,0,0,0,0.00046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00011,0,0.00655,0,0,0,0,0.00163,0,0.01424,0,0,0.00327,0,0,0,0,0,0,0,0,0,0,0,0,0.00084,0.00029,0.01283,0,0,0.00419,0,0.02533,0,0.0001,0,0.0356,0,0.01987,0,0.0043,0,0,0.03601,0.02461,12.67649,0.00063,0,0,0,0,0,0.10201,0.00163,0,0,0.00035,0.00022,0,0,0,0.00128,0,0.00042,0,0.0002,0,0,0,0,0,0
225,LFS2,LFS,0,0,0,0,0,0.00168,0.00314,0,0.13614,8.09522,0,0.00121,0.34128,0,0,0,0.00071,0,0,0,0.00061,0,0,0,0.00075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00017,0,0,0,0,0,0,0.00011,0,0,0,0,0.00029,0,0,0,0.00022,0,0.00438,0,0,0,0,0.00104,0,0.03267,0,0,0.00146,0,0.00012,0,0,0,0,0,0,0,0,0,0.00041,0.00471,0.00939,0.01733,0.00104,0,0.01876,0,0.01979,0,0.00175,0,0.09574,0,0.02707,0,0.00167,0.0008,0.00043,0.02202,0.02418,14.61095,0.00055,0.00205,0.00332,0.00115,0,0,0.14084,0,0,0,0.00257,0,0.0001,0.00094,0,0.00401,0,0.00084,0,0.00013,0,0,0,0,0,0
